evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,92cd68477cc4a47109a5c6aef46da5838ba5b61e65c4333f7a55fdf20171402d.jpg,public Shopify CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/92cd68477cc4a47109a5c6aef46da5838ba5b61e65c4333f7a55fdf20171402d.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,top view of tentacle pit Halloween round rug,,top view of tentacle pit Halloween round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_01.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,5aac1f0cd9f55597860b87c604b2f36b9e617c96e05afcfd8e3d607c3a5104af.jpg,public Shopify CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5aac1f0cd9f55597860b87c604b2f36b9e617c96e05afcfd8e3d607c3a5104af.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,size chart for tentacle pit Halloween round rug,,size chart for tentacle pit Halloween round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_02.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,068ee239ed925d9d8eab42f3345eef0ae9479c57a0d05ef6ea6ddb0426a10651.jpg,public Shopify CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/068ee239ed925d9d8eab42f3345eef0ae9479c57a0d05ef6ea6ddb0426a10651.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,tentacle pit Halloween rug staged by fireplace,,tentacle pit Halloween rug staged by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_03.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,0e48d6914befa5caa49d7e5ee5def87e7aabf97eb8601ca1650d37e57e5a376e.jpg,public Shopify CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0e48d6914befa5caa49d7e5ee5def87e7aabf97eb8601ca1650d37e57e5a376e.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,tentacle pit Halloween round rug shown underfoot,,tentacle pit Halloween round rug shown underfoot,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_04.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,642da360d7cf446e85e7dc5a19f7413982f81302ae767d208fabd52689a9bc2f.jpg,public Shopify CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/642da360d7cf446e85e7dc5a19f7413982f81302ae767d208fabd52689a9bc2f.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,tentacle pit Halloween rug in seasonal room mockup,,tentacle pit Halloween rug in seasonal room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_05.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,3c63bd9b23e6f0e9cc8e320187d9e17e41e801ae3ec6aebe5e386e286c9f1154.jpg,public Shopify CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3c63bd9b23e6f0e9cc8e320187d9e17e41e801ae3ec6aebe5e386e286c9f1154.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,tentacle pit Halloween round rug under dining table,,tentacle pit Halloween round rug under dining table,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_06.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,5b6e051a84cf9691a59d6d2c14152d4296fe1a6edec907fb4e9ec68a15e5ecc0.jpg,public Shopify CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5b6e051a84cf9691a59d6d2c14152d4296fe1a6edec907fb4e9ec68a15e5ecc0.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,non-slip backing detail for tentacle pit rug,,non-slip backing detail for tentacle pit rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_07.jpg,alt_current_empty_in_public_json
B002-011,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04,15976616067441,0bea1fcf977f055b45efe4ff6a6100c775efa36d12878ceac07578a4ce318432.jpg,public Shopify CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0bea1fcf977f055b45efe4ff6a6100c775efa36d12878ceac07578a4ce318432.jpg?v=1787260119,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,design and backing detail for tentacle pit rug,,design and backing detail for tentacle pit rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-04__img_08.jpg,alt_current_empty_in_public_json
B002-012,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14,15976615412081,10d785d781144db785066244b1f0c582cf394ad5f29272c5f457a305d5980b1f.jpg,public Shopify CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/10d785d781144db785066244b1f0c582cf394ad5f29272c5f457a305d5980b1f.jpg?v=1787260101,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,top view of haunted village moon Halloween round rug,,top view of haunted village moon Halloween round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14__img_01.jpg,alt_current_empty_in_public_json
B002-012,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14,15976615412081,65cc8e46d94f85ba67d38b512b9c24d79e5166407f6b30019ec9860579a5424f.jpg,public Shopify CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/65cc8e46d94f85ba67d38b512b9c24d79e5166407f6b30019ec9860579a5424f.jpg?v=1787260102,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,size chart for haunted village moon Halloween round rug,,size chart for haunted village moon Halloween round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14__img_02.jpg,alt_current_empty_in_public_json
B002-012,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14,15976615412081,ff95c930366e24e8d1de2a2356aae89dcbbceab757f7f856bd7229bdb20047ae.jpg,public Shopify CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ff95c930366e24e8d1de2a2356aae89dcbbceab757f7f856bd7229bdb20047ae.jpg?v=1787260101,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,haunted village moon Halloween rug staged by fireplace,,haunted village moon Halloween rug staged by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14__img_03.jpg,alt_current_empty_in_public_json
B002-012,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14,15976615412081,7ab70087f4e65db237b9bbecc585aa1925d42ef5187950891a2b2c44483b26a0.jpg,public Shopify CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7ab70087f4e65db237b9bbecc585aa1925d42ef5187950891a2b2c44483b26a0.jpg?v=1787260102,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,haunted village moon Halloween round rug shown underfoot,,haunted village moon Halloween round rug shown underfoot,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14__img_04.jpg,alt_current_empty_in_public_json
B002-012,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14,15976615412081,6c3e4865995bd5d2b6cf7e42e89a9a1a7c8de1fc3327d10e8d4a5d2db28e7728.jpg,public Shopify CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6c3e4865995bd5d2b6cf7e42e89a9a1a7c8de1fc3327d10e8d4a5d2db28e7728.jpg?v=1787260102,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T01:19:02+07:00,haunted village moon Halloween rug in seasonal room mockup,,haunted village moon Halloween rug in seasonal room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B002/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-14__img_05.jpg,alt_current_empty_in_public_json
