evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307770225,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/be7800bb9cff3013565a53eb7e5d17dce6bd113333dbc530410c61a0c89991ac.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,navy and gold anchor welcome aboard boat rug in coastal entryway,,navy and gold anchor welcome aboard boat rug in coastal entryway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307802993,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/29ae7a2c31f50738595ab0505320b52cbffe7c87e7192d5cb570ad6285eb4d62.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,personalized anchor boat rug in nautical living room mockup,,personalized anchor boat rug in nautical living room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307835761,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/79de17f8d155779a52ca4a6add4c5f4a2b1121622cb6baff64d441ef9682bd94.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,anchor welcome aboard rug in bright room with fireplace,,anchor welcome aboard rug in bright room with fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307868529,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b3f32717b6329ca6b56278fb8de002226b57d95f5126013b9a608ead8d8d9be2.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,navy gold boat-name rug in seating area mockup,,navy gold boat-name rug in seating area mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307901297,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1c5c4f8e668e321ca33792fd37b358e680ce36a7bc274b05ea275f91855d2e4e.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,size chart for personalized anchor boat rug,,size chart for personalized anchor boat rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307934065,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e1329dfbd303781e08e4dcc499d24dfedf32391536b01c79a26307edcfc4aa5d.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,quick-dry microfiber and memory foam cushion graphic for boat rug,,quick-dry microfiber and memory foam cushion graphic for boat rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307966833,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/64d91e667e274b055e88addb9836ee2942109c91336d2edf3ad91aa0cf47a028.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,anti-slip backing stain fade and kid-friendly graphic for boat rug,,anti-slip backing stain fade and kid-friendly graphic for boat rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307307999601,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/44d79af2854e459786e14dc652201e4e229f069b81acecaa09d5054cbf0e80e0.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,anchor welcome aboard boat rug on outdoor deck mockup,,anchor welcome aboard boat rug on outdoor deck mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-071,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02,15976475558257,81307308032369,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/86ff82cd9fccb351c10b8576b49f5c1c0cf4d6c9a2bd4b87cd857e3173f02fc6.jpg?v=1787244700,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,anchor boat rug near fireplace with seated person,,anchor boat rug near fireplace with seated person,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-02__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-072,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-09,15976475525489,81307305542001,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/85f9370250eb97a0c328ca185a73e008793ecae210733b95bd3cd4daf12a6c7e.jpg?v=1787244672,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,navy gold welcome aboard boat mat with rounded corners,,navy gold welcome aboard boat mat with rounded corners,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-09__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B008-072,chillgen.com,custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-09,15976475525489,81307305574769,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d5fd53808940022aa6bca74dfd289d50c04ea9efc0225b1623754e02f568be95.jpg?v=1787244671,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:21:02+07:00,personalized nautical boat mat in coastal living room mockup,,personalized nautical boat mat in coastal living room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B008/custom-boat-rug-personalized-welcome-aboard-mat-with-boat-design-09__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
