evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307278999921,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6b33044e5699420b7ccbd7040bc3bc0c4871750ab0901888b0a3ce653df34ecb.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,parrot beach house family-name rug in coastal room,,parrot beach house family-name rug in coastal room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279032689,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b3252570d5fc338b84fae0cc15850c39e8c02d435112b54abed85d61ebb512e8.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,personalized parrot coastal rug with hibiscus flowers and ocean,,personalized parrot coastal rug with hibiscus flowers and ocean,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279065457,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6d30355e81a988b409f316d049127a20ccd63afc6533040a015dbf25a4d4a5c4.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,custom beach house rug in bright living room mockup,,custom beach house rug in bright living room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279098225,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/60e4d43aebac18a2d969384b722a217dbc4b1723bf4708d7f10aa887ca1d0cba.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,tropical parrot rug beside sofa and palm decor,,tropical parrot rug beside sofa and palm decor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279130993,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/933273de55394cb597425b20988a329409b9ac688f5e593a0facb2a73969b530.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,soft microfiber low pile durable edge graphic for parrot rug,,soft microfiber low pile durable edge graphic for parrot rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279163761,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fbfafbc6fd28755de31c4bf2e320d57262f11f0d79914016d49da3e643af4113.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,anti-slip backing comparison for tropical beach rug,,anti-slip backing comparison for tropical beach rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279196529,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/615b079e58fce8bbe789f29ab9d664382199651e3d29fd5ee170e82e885f9fbb.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,size guide for personalized parrot beach house rug,,size guide for personalized parrot beach house rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279229297,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0df358e1da5e1430d9bc465db4ae7e473d10ca3deade0aed98f16b872b371856.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,parrot beach house rug with woman and dog lifestyle scene,,parrot beach house rug with woman and dog lifestyle scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-081,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-04,15976464220529,81307279262065,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a4afefd30df7e1e3696cea1f3fa4e8a8271873c7e778863e4f310b6e6ba38134.jpg?v=1787243315,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,personalized parrot rug in bedroom reading nook,,personalized parrot rug in bedroom reading nook,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-04__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277558129,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/659e0e8c9353488abd315b0085df891921917874d18aaf85150e3e3f2ee99832.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,surfboard family-name beach rug in coastal living room,,surfboard family-name beach rug in coastal living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B009-082,chillgen.com,personalized-tropical-beach-rug-custom-family-name-tropic-design-05,15976463991153,81307277590897,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6ba587db05fd1e599f376323dffc9ec6e895de36aece5211e12b511dfd2962cc.jpg?v=1787243281,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:27:22+07:00,personalized surfboard beach house rug in sofa mockup,,personalized surfboard beach house rug in sofa mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B009/personalized-tropical-beach-rug-custom-family-name-tropic-design-05__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
