evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377481585,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/63491d43a1fc4ed8081696e2b5986dfe3939268d02ac4999c50643e058469784.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,pastel teacher welcome rug in classroom mockup,,pastel teacher welcome rug in classroom mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377514353,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fd6d19b144499447f6b665b9e280cf3e77dd20626d3900e364aba6fdbcf9995d.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,custom teacher-name pastel welcome rug in classroom,,custom teacher-name pastel welcome rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377547121,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c7c7adcfd1b33e7910259cf3ef245607cc47996aa1deded0c23409df825a4f68.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,overhead view of pastel classroom welcome rug,,overhead view of pastel classroom welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377579889,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/33f7ff4863f845f1f350c850b972d13aedd07e04d4f2e5d32265e216373bceed.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,pastel back-to-school rug in playroom scene,,pastel back-to-school rug in playroom scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377612657,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/106ee8305f5fb7793dce181ca453b47bd2725ec50fbfd312f70ea6be7a2bb441.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,front product image of pastel teacher welcome rug,,front product image of pastel teacher welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377645425,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9e1882c0219a665d4e663402da0b6121421e678de5b824c1f64cea9d77f85ac4.jpg?v=1786646537,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher and children on pastel classroom rug,,teacher and children on pastel classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377678193,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1708fc114ee9439666420243f3e51bf9fbc7f5c0cd04e5b89a2e14ba16857cd1.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,teacher reading with children on pastel welcome rug,,teacher reading with children on pastel welcome rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-111,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-109,15969303363953,81244377710961,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/dd0e5c8616e02fe8d4c4dc6c0ba252f6599ac1d1445dbc08ea7437029b09ba63.jpg?v=1786646536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,thickened bound edge graphic for pastel teacher rug,,thickened bound edge graphic for pastel teacher rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-109__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380594545,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0f612e9feaafb1b58f2f6106d0691495cc16aea9a0e1b537f947d7c087ae5df3.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,school icons teacher welcome rug in classroom,,school icons teacher welcome rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380627313,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8e5d7c7aa7f09784c676f255bc585f74aeb7acad283bb0d3b6517e681957f1f0.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,size chart for school icons classroom rug,,size chart for school icons classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B012-112,chillgen.com,personalized-teacher-classroom-rug-custom-back-to-school-design-110,15969303495025,81244380660081,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/60d29630044fed38f715fc1c9549b3bf596ae0d873aa4a61851f97f925486153.jpg?v=1786646561,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:40:37+07:00,close angled view of teacher welcome rug with school icons,,close angled view of teacher welcome rug with school icons,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B012/personalized-teacher-classroom-rug-custom-back-to-school-design-110__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
