evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B013-121,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-100,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-100; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-100.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 100","Wheel of Feelings and Emotions Round Rug, – - Design 100","This round rug features a colorful Wheel of Feelings and Emotions design, serving as an engaging educational tool. It helps users identify, understand, and express emotions, making it a special addition to various learning environments. Its primary use is to support emotional learning and create a welcoming space for discussion and quiet time. Product Highlights Features a colorful feelings wheel design to aid in emotional learning. Includes educational animal and shape elements for an inviting look. Soft and durable polyester material ensures comfort and longevity. Designed to maintain vibran","round educational rug with Learn Shapes center text, bright labeled panels for hexagon, circle, square, triangle, rectangle, oval, star, heart and diamond, shown in classroom and child reading scenes with 4-size guide, non-slip TPR bottom, safe durable material, foldable rug and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-100; product type=Rug; variants=6; images=7.",7,7,B013-121-IMG01; B013-121-IMG02; B013-121-IMG03; B013-121-IMG04; B013-121-IMG05; B013-121-IMG06; B013-121-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-121-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-122,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-101,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-101; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-101.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 101","Wheel of Feelings and Emotions Round Rug, – - Design 101","This round rug features a colorful Wheel of Feelings and Emotions design, serving as an engaging educational tool. It helps users identify, understand, and express emotions, making it ideal for creating a calm and welcoming learning environment. The rug combines emotional learning with friendly educational elements, perfect for various indoor settings. Product Highlights Colorful Wheel of Feelings and Emotions design supports emotional learning. Educational animal and shape elements make it suitable for classrooms. Soft and durable polyester material offers a comfortable surface. Wear-resistan","dark blue round rug with How Are You Feeling text, large emoji face center, colorful emotion faces and labels including sleepy, happy, worried, shy, amazed, sad, excited, scared, proud, confused, angry and content, shown with classroom group scene, child reading, size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-101; product type=Rug; variants=6; images=7.",7,7,B013-122-IMG01; B013-122-IMG02; B013-122-IMG03; B013-122-IMG04; B013-122-IMG05; B013-122-IMG06; B013-122-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-122-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-123,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-102,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-102; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-102.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 102","Wheel of Feelings and Emotions Round Rug, – - Design 102","This round rug features a vibrant Wheel of Feelings and Emotions design, serving as an engaging educational tool. It helps users identify, understand, and express emotions, fostering emotional literacy in various settings. The design combines emotion learning with friendly educational elements, creating a welcoming and supportive environment. Product Highlights Colorful feelings wheel design supports emotional learning Educational animal and shape elements engage young learners Soft, durable, and family-friendly material for comfort Wear-resistant surface maintains vibrant colors for indoor us","white round classroom rug with large multicolor How Do You Feel Today text, surrounding emotion faces and labels such as happy, calm, sad, jealous, worried, surprised, scared, shy, angry, silly, love and excited, plus black doodle border, classroom scenes, size guide and non-slip backing graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-102; product type=Rug; variants=6; images=7.",7,7,B013-123-IMG01; B013-123-IMG02; B013-123-IMG03; B013-123-IMG04; B013-123-IMG05; B013-123-IMG06; B013-123-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-123-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-124,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-103,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-103; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-103.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 103","Wheel of Feelings and Emotions Round Rug, – - Design 103","This round rug features a vibrant Wheel of Feelings and Emotions design, serving as an engaging educational tool. It helps users identify, understand, and express emotions, making it special for fostering emotional intelligence. Its primary use is to create a supportive learning environment in various settings. Product Highlights Colorful feelings wheel design for emotional learning Combines emotion education with friendly animal and shape elements Soft, durable, and odor-resistant polyester material Non-slip backing ensures stability during use Versatile for learning, play, relaxation, and gr","round educational rug with Days of the Week center text and bright panels labeled Monday through Sunday, showing school, books, sun, art palette, soccer ball, picnic basket and teddy bear icons, plus classroom scenes, child reading, size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-103; product type=Rug; variants=6; images=7.",7,7,B013-124-IMG01; B013-124-IMG02; B013-124-IMG03; B013-124-IMG04; B013-124-IMG05; B013-124-IMG06; B013-124-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-124-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-125,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-104,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-104; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-104.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 104","Wheel of Feelings and Emotions Round Rug, – - Design 104","This round rug features a colorful ""Wheel of Feelings and Emotions"" design, serving as an engaging educational tool. It is designed to help users identify, understand, and express emotions. Ideal for creating a welcoming and calm atmosphere in various learning and counseling environments. Product Highlights Colorful feelings wheel design supports emotional learning Educational animal and shape elements enhance classroom settings Soft and durable material provides a comfortable surface Wear-resistant and odor-resistant for everyday indoor use Suitable for learning, play, and relaxation activiti","round classroom rug with Feelings and Emotions center text and colored emotion slices featuring cartoon children labeled scared, happy, sad, angry, excited, surprised, calm and sleepy, shown in classroom group and child reading scenes with size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-104; product type=Rug; variants=6; images=7.",7,7,B013-125-IMG01; B013-125-IMG02; B013-125-IMG03; B013-125-IMG04; B013-125-IMG05; B013-125-IMG06; B013-125-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-125-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-126,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-105,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-105; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-105.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 105","Wheel of Feelings and Emotions Round Rug, – - Design 105","This round rug features a vibrant Wheel of Feelings and Emotions design, serving as an engaging educational tool. It helps users identify, understand, and express emotions, making it a special addition to any learning environment. The rug is primarily designed to support emotional learning and enhance communication skills in various settings. Product Highlights Colorful feelings wheel design aids in emotion recognition and communication. Features educational animal and shape elements for an inviting learning space. Soft and durable material ensures comfort and longevity for indoor use. Plush s","round educational rug with outer weather panels labeled sunny, rainy, windy and snowy, center seasonal wheel labeled spring, summer, autumn and winter, with landscape icons, classroom group scene, child reading, size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-105; product type=Rug; variants=6; images=7.",7,7,B013-126-IMG01; B013-126-IMG02; B013-126-IMG03; B013-126-IMG04; B013-126-IMG05; B013-126-IMG06; B013-126-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-126-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-127,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-106,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-106; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-106.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 106","Wheel of Feelings and Emotions Round Rug, – - Design 106","This round rug features a vibrant Wheel of Feelings and Emotions design, serving as an engaging educational tool. It is crafted to help users identify, understand, and express various emotions. Ideal for creating a welcoming and supportive atmosphere in learning environments, this rug combines emotional education with playful elements. Product Highlights Colorful feelings wheel design supports emotional learning Features educational animal and shape elements Provides a comfortable surface for sitting and activities Wear-resistant and durable for everyday indoor use Vibrant colors are designed ","round educational rug with Learn Colors center text and colored slices labeled black, white, red, orange, yellow, green, blue, purple, pink and brown, featuring crayon or character artwork, shown in classroom group and child reading scenes with size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-106; product type=Rug; variants=6; images=7.",7,7,B013-127-IMG01; B013-127-IMG02; B013-127-IMG03; B013-127-IMG04; B013-127-IMG05; B013-127-IMG06; B013-127-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-127-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-128,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-107,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-107; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-107.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 107","Wheel of Feelings and Emotions Round Rug, – - Design 107","This round rug features a vibrant ""Wheel of Feelings and Emotions"" design, making it an engaging and educational tool. It is specially crafted to help users identify, understand, and express emotions, fostering better communication skills. Ideal for various learning environments, this rug brings a comforting and interactive element to any space. Product Highlights Colorful feelings wheel design for emotional learning. Educational animal and shape elements enhance engagement. Offers a soft and comfortable surface. Made from durable, odor-resistant, and wear-resistant polyester. Suitable for a w","round classroom rug with Feelings and Emotions center text and animal character emotion slices including scared bunny, happy lion, sad elephant, angry tiger, excited monkey, surprised giraffe, calm panda and sleepy bear, shown with classroom group scene, child reading, size guide, non-slip backing and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-107; product type=Rug; variants=6; images=7.",7,7,B013-128-IMG01; B013-128-IMG02; B013-128-IMG03; B013-128-IMG04; B013-128-IMG05; B013-128-IMG06; B013-128-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-128-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-129,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-108,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-108; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-108.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 108","Wheel of Feelings and Emotions Round Rug, – - Design 108","This round rug features a colorful wheel of feelings and emotions, designed to support emotional learning and development. It serves as an engaging educational tool, helping users to identify, understand, and express their emotions in various settings. The vibrant design also incorporates friendly educational elements, making it a special addition to any learning environment. Product Highlights Supports emotional learning with a colorful feelings wheel design. Features an educational animal and shape pattern. Offers a soft, durable, and family-friendly surface. Suitable for a variety of learni","round educational rug with central tree showing four seasonal quadrants, inner season labels for spring, summer, autumn and winter, outer month ring labeled January through December with seasonal icons such as clover, flowers, sun, beach ball, umbrella, kite, pumpkin, hat, snowman and hot drink, plus classroom scenes and backing graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-108; product type=Rug; variants=6; images=7.",7,7,B013-129-IMG01; B013-129-IMG02; B013-129-IMG03; B013-129-IMG04; B013-129-IMG05; B013-129-IMG06; B013-129-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-129-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B013-130,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-109,2026-09-07T02:45:15+07:00,https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-109; evidence/products/B013_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B013_pages/wheel-of-feelings-and-emotions-round-rug-educational-men-design-109.html; https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,"Wheel of Feelings and Emotions Round Rug, Educational Men - Design 109","Wheel of Feelings and Emotions Round Rug, – - Design 109","This round rug features a vibrant Wheel of Feelings and Emotions design, serving as an engaging tool to help users identify, understand, and express various emotions. It combines learning with friendly educational elements, making it a special addition to any learning or relaxation space. The rug is designed to support emotional learning and build communication skills in a fun and interactive way. Product Highlights Colorful feelings wheel design supports emotional learning Features an educational animal and shape motif for engaging learning Soft and durable polyester material ensures comfort ","round educational rug with Animal Friends center text and labeled animal panels including butterfly, dog, cat, rabbit, horse, cow, sheep, pig, duck, frog, turtle and owl, shown in classroom group and child reading scenes with size guide, non-slip backing, safe durable material, foldable rug and reinforced edging graphics; HTTP 200; canonical=https://chillgen.com/products/wheel-of-feelings-and-emotions-round-rug-educational-men-design-109; product type=Rug; variants=6; images=7.",7,7,B013-130-IMG01; B013-130-IMG02; B013-130-IMG03; B013-130-IMG04; B013-130-IMG05; B013-130-IMG06; B013-130-IMG07,https://www.amazon.com/Classroom-Feelings-Emotional-Regulation-Composition/dp/B0H4YFN91W; https://www.etsy.com/listing/1766108177/emotion-wheel-round-rug-kids-educational; https://www.amazon.com/Classroom-Emotions-Emotional-Preschool-Elementary/dp/B0H1H4PGDH; https://www.mentallyhealthyschools.org.uk/resources/emotion-wheel-for-children/; https://www.twinkl.com.sg/resource/t-s-2400-emotion-wheel; https://chillgen.com/,B013-130-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B013_products.json and B013_pages HTML; visuals=B013 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
