evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828434801,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/53809d4f79c9c5320f58a6610202fb0c560e50fa6044b43748a2c74eef49ef5d.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,my feelings classroom rug in play area,,my feelings classroom rug in play area,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828467569,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2213166fc93a62a9204a1e41b44ca86c7c55cc6ea7438ebfc757f55778ded475.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,size guide for my feelings round rug,,size guide for my feelings round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828500337,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7c106e868366b145d35a9993102831e914b2768fb9c30c53a639dfc55917aa4e.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,teacher group activity on pastel feelings rug,,teacher group activity on pastel feelings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828533105,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d6ac2ef4ad1e52fa27ef1463ea5480da32400ee45eb0e9668dec8bf22f260894.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,child reading on my feelings classroom rug,,child reading on my feelings classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828565873,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d86c6b909a370032d5e1d951c456cfbfb6475189b22317cfc0e410d5a70678b4.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,attractive design and reinforced edging graphic for feelings rug,,attractive design and reinforced edging graphic for feelings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828598641,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e7dc10b2d338d83319a6f88d614450986786f5ddfb926b413c4e0c2ac2480407.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,superior quality backing graphic for my feelings rug,,superior quality backing graphic for my feelings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-131,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-110,15969355268465,81244828631409,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d2d32e7168c70e704b0a4324490aa24f9c2df828f31dd7e40c620c247dbf102d.jpg?v=1786648444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,baby on pastel feelings rug with non-slip backing callout,,baby on pastel feelings rug with non-slip backing callout,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-110__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-132,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-111,15969356382577,81244837904753,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c261839958faeb39e7e33a7b03c441c490af9597c0554f5e52690166debe587d.jpg?v=1786648468,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,today i'm feeling rainbow rug in classroom,,today i'm feeling rainbow rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-111__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-132,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-111,15969356382577,81244837937521,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/147abf9a927dd468264c03b73a9d9f17a3156c8f0a7101d1bdb76ee8f5ed2fc3.jpg?v=1786648468,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,size guide for today i'm feeling rug,,size guide for today i'm feeling rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-111__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-132,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-111,15969356382577,81244837970289,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/473836eaad83a47caefce6f3593d28253df78cfe1b98e0f85bef7ab293bcf4eb.jpg?v=1786648468,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,child reading on rainbow emotion wheel rug,,child reading on rainbow emotion wheel rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-111__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-132,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-111,15969356382577,81244838003057,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/11a2bdaf5f7281144e137f363f8c2f78099fe3d1c59d1911c1599fb78c325eb3.jpg?v=1786648468,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,teacher group activity on feelings check-in rug,,teacher group activity on feelings check-in rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-111__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B014-132,chillgen.com,wheel-of-feelings-and-emotions-round-rug-educational-men-design-111,15969356382577,81244838035825,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aed8a6ee75c042ac55d79a18430ea673235c5f2c3ac6cb44796c308bbe0677c2.jpg?v=1786648468,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:49:45+07:00,baby on today i'm feeling rug with backing callout,,baby on today i'm feeling rug with backing callout,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B014/wheel-of-feelings-and-emotions-round-rug-educational-men-design-111__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
