evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B015-141,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-102,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-102; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-102.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 102,Custom Halloween 3D Optical Illusion Round – - Design 102,"This Halloween 3D Optical Illusion Round Rug features a striking design of a skeleton emerging from a deep stone pit, creating a dramatic visual effect. It serves as an eye-catching centerpiece, adding depth and a unique seasonal style to any room. Perfect for enhancing a spooky atmosphere or as a decorative accent for horror enthusiasts. Product Highlights Features a realistic 3D optical illusion design of a skeleton. Ideal for Halloween parties and haunted house decorations. Offers a soft and comfortable surface for standing or walking. Makes a unique gift for horror fans and Halloween enthu","round Halloween optical illusion rug with a white ghost rising from a black-and-white tunnel, purple ring trim, orange stars, spooky accents and seasonal room mockups, plus size guide, non-slip TPR bottom and foldable durable material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-102; product type=Rug; variants=5; images=8.",8,8,B015-141-IMG01; B015-141-IMG02; B015-141-IMG03; B015-141-IMG04; B015-141-IMG05; B015-141-IMG06; B015-141-IMG07; B015-141-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-141-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-142,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-103,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-103; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-103.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 103,Custom Halloween 3D Optical Illusion Round – - Design 103,"This Halloween 3D Optical Illusion Round Rug creates a spine-chilling atmosphere, making it a striking centerpiece for your seasonal decorating. Featuring a realistic skeleton appearing to climb from a deep stone pit, this design brings dramatic visual depth to any space. It's an ideal addition for Halloween parties, haunted houses, or to enhance your home's festive décor. Product Highlights Features a realistic 3D optical illusion of a skeleton. Adds dramatic visual depth and spooky atmosphere. Soft and comfortable surface for standing or relaxing. Suitable for a variety of indoor spaces and ","round gothic fall rug with a large dark raven or crow, red and orange maple leaves, warm moonlit background and seasonal room mockups, plus size guide, non-slip TPR bottom, foldable material and thickness detail graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-103; product type=Rug; variants=5; images=8.",8,8,B015-142-IMG01; B015-142-IMG02; B015-142-IMG03; B015-142-IMG04; B015-142-IMG05; B015-142-IMG06; B015-142-IMG07; B015-142-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-142-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-143,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-104,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-104; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-104.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 104,Custom Halloween 3D Optical Illusion Round – - Design 104,"Create a spine-chilling atmosphere with this Halloween 3D Optical Illusion Round Rug. Featuring a realistic skeleton climbing from a deep stone pit, this eye-catching design brings dramatic visual depth to your space. It's a fun addition that instantly creates a spooky atmosphere while complementing your Halloween décor, suitable for various indoor settings. Product Highlights Striking 3D optical illusion with a skeleton design for dramatic depth. Perfect for Halloween parties, haunted houses, and themed events. Soft and comfortable surface for standing, walking, or relaxing. Designed for ever","round Halloween rug with black-and-white checkerboard vortex illusion, floating white ghosts, orange pumpkins, purple and green border squares, spiderwebs and leaves, shown in seasonal room mockups with size guide and backing graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-104; product type=Rug; variants=5; images=8.",8,8,B015-143-IMG01; B015-143-IMG02; B015-143-IMG03; B015-143-IMG04; B015-143-IMG05; B015-143-IMG06; B015-143-IMG07; B015-143-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-143-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-144,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-105,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-105; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-105.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 105,Custom Halloween 3D Optical Illusion Round – - Design 105,"This round area rug features a striking 3D optical illusion, depicting a skeleton emerging from a deep stone pit. The detailed artwork creates dramatic depth, making it a captivating centerpiece. It is perfect for enhancing seasonal decor and adding a spooky atmosphere to any space. Product Highlights Striking 3D optical illusion with a skeleton design Ideal for Halloween parties and haunted house setups Provides a soft and comfortable surface Features a non-slip backing for stability Suitable for various indoor settings and seasonal displays Specifications Attribute Value Rug Form Area Rug It","round Halloween fall rug with a blanket-wrapped ghost beside a glowing campfire, pumpkins, lanterns, autumn leaves, lake or cabin background and warm sunset colors, shown in seasonal room scenes with size guide and backing detail graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-105; product type=Rug; variants=5; images=8.",8,8,B015-144-IMG01; B015-144-IMG02; B015-144-IMG03; B015-144-IMG04; B015-144-IMG05; B015-144-IMG06; B015-144-IMG07; B015-144-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-144-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-145,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-106,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-106; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-106.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 106,Custom Halloween 3D Optical Illusion Round – - Design 106,"This unique round rug creates a chilling atmosphere with its 3D optical illusion design, featuring a realistic skeleton appearing to emerge from a stone pit. It adds dramatic visual depth to any space and serves as an eye-catching centerpiece for Halloween decorations and themed events. Product Highlights Striking 3D optical illusion with a skeleton design Perfect for Halloween parties and haunted house setups Soft and comfortable surface for standing or relaxing Designed for everyday indoor use with vivid printed artwork Adds bold seasonal style to your home decor Specifications Attribute Val","round 3D Halloween rug showing a skeleton crawling out of a dark stone pit with glowing eyes, brick rim and shadowed well effect, shown in living room, dining and fireplace scenes with size guide, non-slip backing and foldable material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-106; product type=Rug; variants=5; images=8.",8,8,B015-145-IMG01; B015-145-IMG02; B015-145-IMG03; B015-145-IMG04; B015-145-IMG05; B015-145-IMG06; B015-145-IMG07; B015-145-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-145-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-146,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-107,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-107; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-107.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 107,Custom Halloween 3D Optical Illusion Round – - Design 107,"This round rug features a realistic 3D optical illusion, depicting a skeleton emerging from a stone pit. The detailed artwork adds dramatic depth, making it an eye-catching center piece for various indoor spaces. It's designed to enhance seasonal decor, particularly for Halloween-themed settings. Product Highlights Striking 3D optical illusion with a skeleton design Ideal for Halloween parties and themed events Soft and comfortable surface for standing or relaxing Non-slip feature for added safety Suitable for living rooms, bedrooms, and entryways Specifications Attribute Value Rug Form Area R","round Halloween optical illusion rug with black-and-white checkerboard pit, graveyard border, tombstones, white ghosts, pumpkins, spiderwebs and purple night accents, shown in seasonal living room and dining scenes with size guide and backing graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-107; product type=Rug; variants=5; images=8.",8,8,B015-146-IMG01; B015-146-IMG02; B015-146-IMG03; B015-146-IMG04; B015-146-IMG05; B015-146-IMG06; B015-146-IMG07; B015-146-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-146-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-147,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-108,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-108; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-108.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 108,Custom Halloween 3D Optical Illusion Round – - Design 108,"Tạo không khí rùng rợn với tấm thảm tròn ảo ảnh 3D Halloween này. Nổi bật với bộ xương chân thực đang bò ra từ một hố đá sâu, thiết kế bắt mắt này mang đến chiều sâu thị giác ấn tượng cho không gian của bạn. Tấm thảm này rất phù hợp cho các bữa tiệc Halloween, nhà ma, phòng khách, phòng chơi game và trang trí nhà theo mùa. Điểm nổi bật của sản phẩm Ảo ảnh quang học 3D hình bộ xương tạo chiều sâu kịch tính. Thêm nét thú vị cho các bữa tiệc Halloween và sự kiện theo chủ đề. Bề mặt mềm mại và thoải mái để đứng hoặc đi lại. Thích hợp cho nhiều không gian trong nhà như phòng khách và phòng ngủ. Món","round Halloween rug with haunted house, cobblestone path, white ghosts, jack-o-lantern pumpkins, bats, dark trees and purple-orange sky, shown in seasonal room scenes with size guide, non-slip backing and reinforced edge graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-108; product type=Rug; variants=5; images=8.",8,8,B015-147-IMG01; B015-147-IMG02; B015-147-IMG03; B015-147-IMG04; B015-147-IMG05; B015-147-IMG06; B015-147-IMG07; B015-147-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-147-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-148,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-109,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-109; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-109.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 109,Custom Halloween 3D Optical Illusion Round – - Design 109,"This 3D optical illusion rug creates a spine-chilling atmosphere with a striking design featuring a skeleton seemingly climbing from a deep stone pit. This unique piece adds dramatic visual depth to any space, making it an eye-catching focal point for Halloween festivities and year-round spooky décor. Perfect for Halloween parties, haunted houses, living rooms, game rooms, and seasonal home décor. Product Highlights Striking 3D optical illusion with skeleton design Ideal for Halloween parties and themed events Soft and comfortable surface for relaxation Designed for everyday indoor use Enhance","round Halloween rug with corgi dogs wearing witch hats, haunted castle silhouette, large moon, bats, pumpkins and dark blue night background, shown in seasonal room scenes with size guide, non-slip backing and foldable material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-109; product type=Rug; variants=5; images=8.",8,8,B015-148-IMG01; B015-148-IMG02; B015-148-IMG03; B015-148-IMG04; B015-148-IMG05; B015-148-IMG06; B015-148-IMG07; B015-148-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-148-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-149,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-110,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-110; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-110.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 110,Custom Halloween 3D Optical Illusion Round – - Design 110,"This round rug features a unique 3D optical illusion, presenting a realistic skeleton emerging from a stone pit. The detailed artwork adds significant visual depth, making it a striking centerpiece for any space. It is ideal for creating a spooky atmosphere or adding a bold seasonal style to your home. Product Highlights Striking 3D optical illusion design with a skeleton theme. Creates a spooky atmosphere for Halloween and themed events. Soft and comfortable surface for standing or walking. Designed for everyday indoor use with vivid printed artwork. Easy to care for with regular vacuuming an","round Halloween rug with swirling orange, purple and blue vortex pattern, silhouettes of flying bats and strong optical tunnel effect, shown in living room, dining and fireplace scenes with size guide, non-slip backing and foldable material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-110; product type=Rug; variants=5; images=8.",8,8,B015-149-IMG01; B015-149-IMG02; B015-149-IMG03; B015-149-IMG04; B015-149-IMG05; B015-149-IMG06; B015-149-IMG07; B015-149-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-149-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B015-150,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-111,2026-09-07T02:54:29+07:00,https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-111; evidence/products/B015_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B015_pages/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-111.html; https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,Custom Halloween 3D Optical Illusion Round Rug Skeleton H - Design 111,Custom Halloween 3D Optical Illusion Round – - Design 111,"This round rug features a striking 3D optical illusion, portraying a realistic skeleton emerging from a stone pit. It creates an eye-catching centerpiece with dramatic visual depth, perfect for enhancing your seasonal décor. The rug adds a bold style element while providing a comfortable surface for various indoor spaces. Product Highlights Striking 3D optical illusion with a skeleton design Ideal for Halloween parties and themed events Soft and comfortable surface for standing or walking Non-slip feature for everyday indoor use Enhances seasonal décor with vivid printed artwork Thoughtful gif","round purple Halloween rug with haunted village or gothic city vortex artwork, small ghosts, pumpkins, glowing lanterns, dark arches and layered depth effect, shown in seasonal living room and dining scenes with size guide, non-slip backing and material graphics; HTTP 200; canonical=https://chillgen.com/products/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-111; product type=Rug; variants=5; images=8.",8,8,B015-150-IMG01; B015-150-IMG02; B015-150-IMG03; B015-150-IMG04; B015-150-IMG05; B015-150-IMG06; B015-150-IMG07; B015-150-IMG08,https://www.etsy.com/market/halloween_optical_illusion_rug; https://www.amazon.com/halloween-illusion-rug/s?k=halloween+illusion+rug; https://www.etsy.com/market/skeleton_rug; https://www.walmart.com/ip/Halloween-3D-Optical-Illusion-Round-Rug-Spooky-Ghost-Pumpkin-Non-Slip-Floor-Mat-Entryway-Bedroom-40cm-Circular-Halloween-Decor-Doormat-Home-Party-Por/20642673265; https://chillgen.com/,B015-150-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B015_products.json and B015_pages HTML; visuals=B015 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
