evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679747441,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e196544a47b5bc6dfbb39bb4e38ac37398397d2fafa1ce3a67ce10527d35f737.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,witch hat pumpkin Halloween rug overhead view,,witch hat pumpkin Halloween rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679780209,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0177dabeca316edb435ebc46325e5e6876b24193f49a30e46b1a5e638b22acfe.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,size guide for pumpkin witch round rug,,size guide for pumpkin witch round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679812977,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4fae1ede47449b26a0c1ef8fd9e560fcdc889212bc32637a31bbc199b314c227.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,pumpkin witch rug near fireplace and fall decor,,pumpkin witch rug near fireplace and fall decor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679845745,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/14d79f1705c16f0368013e9c31d483af24b55f8f266393c488bf5979a15e73fb.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,non-slip backing graphic for Halloween pumpkin rug,,non-slip backing graphic for Halloween pumpkin rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679878513,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5a233dac51ef20b47afe70e129810042e0fd311f1b5354bb7bc00032d727bf28.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,pumpkin witch hat rug in living room,,pumpkin witch hat rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679911281,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6dc21c1f9afffe6e2cc4b343d0f4b589c3dbacd6a070c82b4ef40d9a788d03d6.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,nonslip detail graphic for jack o lantern rug,,nonslip detail graphic for jack o lantern rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679944049,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bea1cb8c531337e4a057e0bad6a1c2055a103bd3c9ebe3cc9f8cb8e66625e709.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,Halloween pumpkin rug under kitchen table,,Halloween pumpkin rug under kitchen table,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-151,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112,15969442365809,81245679976817,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/af728bb8671d1031c44b04af92a3541785c71bbeb12355292f860b24fbe8c2eb.jpg?v=1786653802,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,child sitting near witch hat pumpkin rug,,child sitting near witch hat pumpkin rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-112__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-152,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113,15969442398577,81245680697713,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/938cbac1a8e893aba8ae57996cdff8d9f5b64ac1775353f7a686059da4fc6ec0.jpg?v=1786653816,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,grim reaper Halloween rug overhead view,,grim reaper Halloween rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-152,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113,15969442398577,81245680730481,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/89cebf2e79611e6b441fe872b6f0b51544062f36a1f1d66bbdcc17728f29787c.jpg?v=1786653816,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,size guide for reaper cemetery round rug,,size guide for reaper cemetery round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B016-152,chillgen.com,custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113,15969442398577,81245680763249,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ebe1f2b4897b0f6c4577402ab8391d45da634a264248aeb7620e3337242466d4.jpg?v=1786653816,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T02:59:39+07:00,grim reaper rug in fireplace room,,grim reaper rug in fireplace room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B016/custom-halloween-3d-optical-illusion-round-rug-skeleton-h-design-113__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
