evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245556900209,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/88d1344c07a3646563b8538205e18bda7f185fd609f48da9a0d302fa96d9e407.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,funny couple welcome doormat product image,,funny couple welcome doormat product image,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245556932977,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c00d1a65b17447bf2ed6eeda8aad9d16d32f80664eaa0d7ce9c3bd61047718a3.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,custom couple doormat at indoor entry,,custom couple doormat at indoor entry,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245556965745,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3dc1b473ae4f7572ee7951288aef9af2be52689417b050c4cfb9d6f374dadd06.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,couple welcome mat at front door with dog,,couple welcome mat at front door with dog,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245556998513,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3657c3631dc74cd2de906fd10269ba8b1987aef3e979f1e53a22e6b28a9a17a9.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,couple holding personalized grumpy old man mat,,couple holding personalized grumpy old man mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245557031281,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6814a409d7231fd54f00cf16b559e736e50d6446e9e2ba97b1483bcc35e1c196.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,multi-room use cases for couple doormat,,multi-room use cases for couple doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245557064049,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e57b580b2a2b327405a2258ab72dc642c03bd54427109819d32da937774a2c0f.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,size guide for personalized couple mat,,size guide for personalized couple mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-171,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-04,15969437286769,81245557096817,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/521cd93bf136bc38154e1ed5c494da16e9ec8d6eef09dda5e2a9e1367148e440.jpg?v=1786652343,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,non-skid rubber backing detail for doormat,,non-skid rubber backing detail for doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-04__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520363889,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/61fc9a5ed970be6afa3aee0b655fe3344f08c88b2b0773239ad94658699ee934.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,animals and kids personalized couple doormat,,animals and kids personalized couple doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520396657,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1543807f72d5a0c20f528a38b4738077b9680c6e5134b8787cc8a880e54f8ee7.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,funny family doormat at indoor entry,,funny family doormat at indoor entry,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520429425,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/77b33890e34fd0668abd8f48a91cbc17f83b7850578869de29b7f83705d643c6.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,custom couple mat at front door with dog,,custom couple mat at front door with dog,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B018-172,chillgen.com,personalized-family-couple-doormat-custom-couple-husband-design-02,15969433944433,81245520462193,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c4bc6528e5680ef2b394e9baa5cefe308fca0f849c5f419d49c801f17831cb03.jpg?v=1786651581,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:07:41+07:00,couple holding animals and kids doormat,,couple holding animals and kids doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B018/personalized-family-couple-doormat-custom-couple-husband-design-02__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
