evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441641841,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4949aa274fa1a93749737f3a6d978d7efbaeedbd6424e40afadf23ff28cb8b69.jpg?v=1784383993,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,three nations soccer round rug overhead view,,three nations soccer round rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441674609,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/99a5f332fc5976945103642869511f5302fc73c19f884d56f4cf30d52d2f0a04.jpg?v=1784383994,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,size guide for three nations soccer rug,,size guide for three nations soccer rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441707377,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/345f21a8637a1a6f9015d511e722098342d96bf522250cb4095b1b231d1ee1d0.jpg?v=1784383998,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,soccer trophy rug near fireplace,,soccer trophy rug near fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441740145,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/02f7bbe5008cd9992c28b49fea8b7bcf655075a3265dd869ac12ac9a355dab85.jpg?v=1784384000,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,child sitting near soccer round rug,,child sitting near soccer round rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441772913,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/148454ca272c879dae080bfb4dc62588a78f85b4f647a4c1d76c98cbc7efb24e.jpg?v=1784384004,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,soccer rug under dining table,,soccer rug under dining table,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441805681,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc266cc2fe7cd5d1ad1c2d86985f892573e66ebe942cffdc6c8b1fd6091a4f6d.jpg?v=1784384006,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,soccer rug in holiday living room,,soccer rug in holiday living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441838449,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c763819e4d97c0005ab09806543fa93023d87c35e516c2bcacb09f3b7c298ec4.jpg?v=1784384010,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,detail graphic for soccer ball trophy rug,,detail graphic for soccer ball trophy rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-181,chillgen.com,custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80,15913465086321,80879441871217,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1097ce77cf00e39949209bfdaa911489722f02303466f3110efb8b833c6bf4e6.jpg?v=1784384011,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,non-slip backing panel for soccer rug,,non-slip backing panel for soccer rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-round-rug-trophy-championship-carpet-3ca0f26f80__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-182,chillgen.com,custom-soccer-championship-round-rug-106971c407,15913464889713,80879440003441,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2deff7b8bb1ed8309bd91f0e79d9e66ee6976418fee3ecef0b4d5095fb13ed19.jpg?v=1784200833,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,soccer trophy flag ring rug overhead view,,soccer trophy flag ring rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-championship-round-rug-106971c407__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-182,chillgen.com,custom-soccer-championship-round-rug-106971c407,15913464889713,80879440036209,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/391719a1fa9f1999727a15b5caeaafe4b9472306e90257a08bda1f20c7f2bb11.jpg?v=1784200833,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,size guide for soccer trophy rug,,size guide for soccer trophy rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-championship-round-rug-106971c407__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B019-182,chillgen.com,custom-soccer-championship-round-rug-106971c407,15913464889713,80879440068977,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/21e39fc32b5d53ee7f1de179221ec9508b2be4187c7cb10bf626dfc77f50f402.jpg?v=1784200833,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:12:05+07:00,soccer trophy rug near fireplace,,soccer trophy rug near fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B019/custom-soccer-championship-round-rug-106971c407__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
