evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106149233,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8b93e73598069ed6f192e7fc454c51b3e0904f0166a2d83d9c0d319e1b600c78.jpg?v=1784369352,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,color zones feelings wheel rug in classroom,,color zones feelings wheel rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106182001,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f73a8c06351a28f187d108bff7f5a68250b428d448d0b8c8651b435063bb3eb3.jpg?v=1784369355,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,child reading on color zones feelings rug,,child reading on color zones feelings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106214769,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4c41405e1cfe61962be0ba43e23bd1f0fc4f9321615243b49f06a8de5b2f61f7.jpg?v=1784369357,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,size guide for feelings wheel rug,,size guide for feelings wheel rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106247537,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/300f9f29a3a3046b19f9013665cd4e7d22dc1732dbd5dc1a11c109cf4e82a00c.jpg?v=1784369360,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,classroom group using emotions rug,,classroom group using emotions rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106280305,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4a08e63f9f7b2d1e29798834dd2b870b9253decfc3cfdd2c74539ff7de25f3c2.jpg?v=1784369362,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,non-slip backing panel for feelings rug,,non-slip backing panel for feelings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106313073,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/76006dfe5a35ae1cde64f57f069a2ac52f8643842c668cb2b22877e441a21941.jpg?v=1784369365,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,reinforced edging detail for emotions rug,,reinforced edging detail for emotions rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-191,chillgen.com,feelings-wheel-emotions-round-rug-f48bff995a,15913293971825,80878106345841,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bca7de9627aa26ae9fddc5096e0be2199b47610d6e3e0c7afa01d1b39a9e08c6.jpg?v=1784369367,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,soft non-slip backing detail for feelings wheel rug,,soft non-slip backing detail for feelings wheel rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/feelings-wheel-emotions-round-rug-f48bff995a__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104543601,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0063d52da6f9d4240c880c2e0e9e369d35914ddeac7bcbe9fe3748422585d636.jpg?v=1784369371,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,emotions activity wheel rug in classroom,,emotions activity wheel rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104576369,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a8adc0c3c913363216891c9e5f6c89ee110c1b5ddc2f94dd84ee406fd563ebb7.jpg?v=1784369372,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,size guide for emotions activity rug,,size guide for emotions activity rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104609137,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a611bdabe176dbd60b9921550919eca7a683f1e4dbb07d19afaeda5fd711e9bc.jpg?v=1784369376,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,classroom group using feelings wheel rug,,classroom group using feelings wheel rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104641905,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9986b9464737c339cc2c55618abcfda304e964d7600672076b7363f2f47d6e35.jpg?v=1784369377,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,non-slip backing panel for activity wheel rug,,non-slip backing panel for activity wheel rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104674673,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7ff96a246cce244057efe667641514942e81a943f8981aca9060cf43678e8bdc.jpg?v=1784369381,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,child reading on emotions activity rug,,child reading on emotions activity rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B020-192,chillgen.com,wheel-of-feelings-and-emotions-round-rug-a7bf6ef454,15913293775217,80878104707441,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cfd5779850953e064f0a1e2a76282a215872dc8e969109f1bc7fae15d0602fe1.jpg?v=1784369383,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:16:10+07:00,reinforced edging detail for emotions rug,,reinforced edging detail for emotions rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B020/wheel-of-feelings-and-emotions-round-rug-a7bf6ef454__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
