evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077861233,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8eaa957921032fe30dc7ddb882b941629d6326d65f8e313837cefcd0f5f244ff.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,black album cover music rug in studio,,black album cover music rug in studio,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077894001,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/95dde638f516ceada9c2af6f3cc7bc947d6be602c5f1b274486889e705847ecd.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,black custom song rug in living room,,black custom song rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077926769,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8e0bf4bc54bad66ccd3b2a3c273129cf93549c762d7e729d87e08be1c070123c.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,microfiber cushion detail for black music rug,,microfiber cushion detail for black music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077959537,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/10f9d284b89fed44dce9171ce9f369140198d72f4531790549ae80dbe7a3b6dd.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,non-slip backing panel for album cover rug,,non-slip backing panel for album cover rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920077992305,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bcba00108a68f3f61ba3768a5cdc2b4414bc615fa8eb5234ab3785872c248e0e.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,woman sitting near custom music rug,,woman sitting near custom music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920078025073,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/46e2f5a3b9c5ea38a28dd5845ea6221da968ce46eec976587a92a571fb344e23.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,black music player rug near sofa,,black music player rug near sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920078057841,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e7a3a7cd5bad59959b0a24c2c00a97e4a41cefa07b206a4daf6474556d707630.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,album cover rug in lounge room,,album cover rug in lounge room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-201,chillgen.com,personalized-album-cover-rug-4af618eed5,15919772336497,80920078090609,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1a6c6c8409d1c4190316922ccf4458df90269f5754e3977d28c23aaab1ca57d1.jpg?v=1784523667,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,size guide for black album cover rug,,size guide for black album cover rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-rug-4af618eed5__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080548209,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/93f508665e2390b30269b059a84181bc84f7de8abfa104d0e6d9fa86f5a11beb.jpg?v=1784523689,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,teal album cover music rug in bright room,,teal album cover music rug in bright room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080580977,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/975a1822753eff2134207c3029a365b4292d00881ffa28321d90659fc4565d19.jpg?v=1784523688,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,teal custom song rug near fireplace,,teal custom song rug near fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B021-202,chillgen.com,personalized-album-cover-welcome-mat-26099b1534,15919773221233,80920080613745,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7d21322d2a3d3f230cbe85782f06ae1e2567969a9b3b9f42966b27c387bcad8a.jpg?v=1784523688,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:19:28+07:00,teal microfiber cushion detail,,teal microfiber cushion detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B021/personalized-album-cover-welcome-mat-26099b1534__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
