evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B021-201,https://chillgen.com/products/personalized-album-cover-rug-4af618eed5,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-rug-4af618eed5; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-rug-4af618eed5.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Custom Album Cover Area Rug with Breathable Comfort for Dining Room,Custom Album Cover Area Rug with Breathable Comfort,"Transform your living space with this personalized area rug featuring your favorite album cover, song title, and artist name. This unique custom decor piece turns your floor space into a cherished reflection of your musical journey. Designed with comfort and functionality in mind, it provides a safe, cozy, and highly personalized touch to your home. Product Highlights Customizable with your favorite album cover, song title, and artist name. Experience ultimate comfort with soft short fibers and a high-density sponge. Equipped with a non-slip point plastic bottom for floor protection and safety","black rectangular album-cover rug with green cover image area, song title and artist placeholders, playback controls, progress bar, living room, music studio and fireplace mockups, quick-dry microfiber detail, non-slip backing and size guide; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-rug-4af618eed5; product type=Rug; variants=20; images=8.",8,8,B021-201-IMG01; B021-201-IMG02; B021-201-IMG03; B021-201-IMG04; B021-201-IMG05; B021-201-IMG06; B021-201-IMG07; B021-201-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-201-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-202,https://chillgen.com/products/personalized-album-cover-welcome-mat-26099b1534,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-welcome-mat-26099b1534; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-welcome-mat-26099b1534.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Personalized Album Cover Area Rug with Non Slip Bottom for Dining Room,Personalized Album Cover Area Rug with Non Slip Bottom,"Transform your living space with a unique area rug that celebrates your musical journey. This personalized floor mat features your favorite album cover, song title, and artist name, making it a standout addition to your home decor. Constructed with soft short fibers and a high-density sponge, it combines exceptional comfort underfoot with a safe, non-slip bottom. Product Highlights Personalized with your chosen album cover, song title, and artist name. Constructed with soft short fibers and high-density sponge for a cozy feel. Non-slip point plastic bottom provides dependable floor protection.","teal rectangular music player rug with album cover photo area, song title and artist name placeholders, playback controls, progress bar, living room and entryway mockups, quick-dry microfiber edge detail, non-slip backing and size chart; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-welcome-mat-26099b1534; product type=Rug; variants=20; images=8.",8,8,B021-202-IMG01; B021-202-IMG02; B021-202-IMG03; B021-202-IMG04; B021-202-IMG05; B021-202-IMG06; B021-202-IMG07; B021-202-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-202-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-203,https://chillgen.com/products/personalized-album-cover-area-rug-648fd8e2ff,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-area-rug-648fd8e2ff; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-area-rug-648fd8e2ff.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Custom Music Album Area Rug with Stain Resistant Surface for Living Room,Custom Music Album Area Rug with Stain Resistant Surface,"Transform your living space with a personalized area rug that features your favorite album cover, song title, and artist name. This unique home decor accent turns your room into a reflection of your musical journey while providing a soft, comfortable layer underfoot. Designed for music lovers, it serves as a personalized touch that beautifully captures your passion for music. Product Highlights Features personalized album cover, song title, and artist name customization Constructed with soft short fibers and a high-density sponge for ultimate comfort Equipped with a non-slip point plastic bott","orange rectangular album cover rug with grayscale cover art area, song title and artist text, player buttons, progress line, bedroom and living room mockups, soft microfiber detail, non-slip backing and size guide; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-area-rug-648fd8e2ff; product type=Rug; variants=20; images=8.",8,8,B021-203-IMG01; B021-203-IMG02; B021-203-IMG03; B021-203-IMG04; B021-203-IMG05; B021-203-IMG06; B021-203-IMG07; B021-203-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-203-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-204,https://chillgen.com/products/personalized-album-cover-area-rug-0587b91810-0587b91810,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-area-rug-0587b91810-0587b91810; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-area-rug-0587b91810-0587b91810.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Personalized Album Cover Rug with Quick Dry Comfort for Bedroom Decor,Personalized Album Cover Rug with Quick Dry Comfort,"Transform your living space with a custom area rug designed to showcase your favorite music passions. This unique home decor piece features your selected album cover, song title, and artist name, turning your floor into a personal statement. It provides a soft, comfortable barrier for your floors while seamlessly blending with your room aesthetic. Product Highlights Customizable with your favorite album cover, song title, and artist name. Constructed with soft short fibers and a high-density sponge for breathable comfort. Equipped with a non-slip point plastic bottom to ensure safety and floor","beige rectangular music player rug with album cover image, song and artist placeholders, white playback controls, room mockups, quick-dry microfiber detail, soft memory foam cushion, non-slip backing and size chart; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-area-rug-0587b91810-0587b91810; product type=Rug; variants=15; images=8.",8,8,B021-204-IMG01; B021-204-IMG02; B021-204-IMG03; B021-204-IMG04; B021-204-IMG05; B021-204-IMG06; B021-204-IMG07; B021-204-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-204-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-205,https://chillgen.com/products/personalized-album-cover-rug-3bfef01c49-3bfef01c49,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-rug-3bfef01c49-3bfef01c49; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-rug-3bfef01c49-3bfef01c49.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Personalized Album Cover Rug with Non Slip Backing for Dining Room Decor,Personalized Album Cover Rug with Non Slip Backing,"Transform your living space with a personalized area rug that features your favorite album cover, song title, and artist\'s name. This unique customization turns the rug into a cherished reflection of your musical journey, adding a personal touch to your home decor. Designed for indoor use, it provides a safe, cozy, and stylish environment in any room. Product Highlights Features custom personalization with your favorite photo, album cover, song title, and artist name. Constructed with soft short fibers and a high-density sponge for quick-drying comfort and breathability. Equipped with a non-s","brown rectangular album-player rug with cover image area, song and artist placeholders, controls, progress bar, bright living room mockups, fireplace scene, quick-dry microfiber detail, backing panel and size chart; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-rug-3bfef01c49-3bfef01c49; product type=Rug; variants=20; images=8.",8,8,B021-205-IMG01; B021-205-IMG02; B021-205-IMG03; B021-205-IMG04; B021-205-IMG05; B021-205-IMG06; B021-205-IMG07; B021-205-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-205-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-206,https://chillgen.com/products/personalized-album-cover-area-rug-52d1b2412d-52d1b2412d,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-area-rug-52d1b2412d-52d1b2412d; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-area-rug-52d1b2412d-52d1b2412d.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Custom Music Album Rug with Soft Memory Foam for Bedroom and Living Room,Custom Music Album Rug with Soft Memory Foam Comfort,"Transform your living space with a personalized area rug that features your favorite album cover, song title, and artist name. This unique home decor piece turns your musical journey into a cherished visual display, making it a perfect addition to any room. Crafted for both comfort and safety, it provides a soft feel underfoot while protecting your floors. Product Highlights Personalized with your favorite album cover, song title, and artist name Constructed with soft short fibers and a high-density sponge for breathability Features a non-slip point plastic bottom for secure floor protection S","burgundy rectangular album cover rug with grayscale image area, song title and artist name placeholders, playback controls, living room and entryway mockups, microfiber cushion detail, non-slip backing and size chart; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-area-rug-52d1b2412d-52d1b2412d; product type=Rug; variants=20; images=8.",8,8,B021-206-IMG01; B021-206-IMG02; B021-206-IMG03; B021-206-IMG04; B021-206-IMG05; B021-206-IMG06; B021-206-IMG07; B021-206-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-206-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-207,https://chillgen.com/products/personalized-album-cover-rug-75f5a15f3e-75f5a15f3e,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-album-cover-rug-75f5a15f3e-75f5a15f3e; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-album-cover-rug-75f5a15f3e-75f5a15f3e.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Personalized Album Cover Area Rug with Washable Low Pile for Bedroom,Personalized Album Cover Area Rug with Washable Low Pile,"Transform your living space with this unique personalized area rug, designed to feature your favorite album cover, song title, and artist name. This custom floor mat beautifully captures your musical journey, making it a standout addition to your home decor or a thoughtful gift for music lovers. It blends comforting textures with functional safety to enhance any room's atmosphere. Product Highlights Features custom personalization with your chosen photo, album cover, song title, and artist name. Constructed with soft short fibers and a high-density sponge for ultimate comfort, quick-drying, an","gray rectangular album-player rug with cover image, song title and artist placeholders, playback controls, moody bedroom mockup, living room and entryway scenes, quick-dry microfiber surface, memory foam cushion, non-slip backing and size guide; HTTP 200; canonical=https://chillgen.com/products/personalized-album-cover-rug-75f5a15f3e-75f5a15f3e; product type=Rug; variants=20; images=8.",8,8,B021-207-IMG01; B021-207-IMG02; B021-207-IMG03; B021-207-IMG04; B021-207-IMG05; B021-207-IMG06; B021-207-IMG07; B021-207-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-207-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-208,https://chillgen.com/products/custom-album-cover-rug-music-decor-f2f905d19b-f2f905d19b,2026-09-07T03:19:28+07:00,https://chillgen.com/products/custom-album-cover-rug-music-decor-f2f905d19b-f2f905d19b; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/custom-album-cover-rug-music-decor-f2f905d19b-f2f905d19b.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Custom Music Album Area Rug with Soft Sponge Comfort for Dining Room,Custom Music Album Area Rug with Soft Sponge Comfort,"Transform your living space with a personalized area rug that features your favorite album cover, song title, and artist's name. This unique home decor piece turns your floor space into a cherished reflection of your musical journey. It is designed to bring both comfort and personality to your home interiors, making it an excellent choice for music enthusiasts. Product Highlights Customizable with your favorite album cover, song title, and artist name Constructed with soft short fibers and a high-density sponge for comfort Non-slip point plastic bottom offers reliable floor protection Easy-to-","black album-player rug shown in a music studio with guitars, speakers and records, plus living room, fireplace and entryway mockups, custom cover image area, song title and artist placeholders, microfiber cushion detail, anti-slip backing and size chart; HTTP 200; canonical=https://chillgen.com/products/custom-album-cover-rug-music-decor-f2f905d19b-f2f905d19b; product type=Rug; variants=15; images=8.",8,8,B021-208-IMG01; B021-208-IMG02; B021-208-IMG03; B021-208-IMG04; B021-208-IMG05; B021-208-IMG06; B021-208-IMG07; B021-208-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-208-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-209,https://chillgen.com/products/personalized-music-album-cover-welcome-mat-6b66b8a24c,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-music-album-cover-welcome-mat-6b66b8a24c; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-music-album-cover-welcome-mat-6b66b8a24c.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Personalized Music Album Area Rug with Low Pile for Home Office Decor,Personalized Music Album Area Rug with Low Pile Design,"Elevate your living space with this custom, album-style floor mat designed to showcase your favorite music art in a unique way. Crafted with a soft surface, this rug provides a cozy and comfortable feel underfoot while protecting your floors in high-traffic areas. It makes a thoughtful, personalized addition to any music enthusiast's home decor. Product Highlights Customizable design allows you to add your favorite album cover, song title, and artist name. Features a soft and comfortable texture that is gentle underfoot for family and pets. Constructed with a non-slip backing for secure placem","rectangular music rug with record turntable graphic, custom photo in vinyl area, song name and artist name placeholders, gradient pink green and peach colors, room mockups, size chart, quick-dry microfiber detail, stain fade resistant panel and anti-slip backing; HTTP 200; canonical=https://chillgen.com/products/personalized-music-album-cover-welcome-mat-6b66b8a24c; product type=Rug; variants=4; images=8.",8,8,B021-209-IMG01; B021-209-IMG02; B021-209-IMG03; B021-209-IMG04; B021-209-IMG05; B021-209-IMG06; B021-209-IMG07; B021-209-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-209-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B021-210,https://chillgen.com/products/personalized-music-album-cover-rug-5088343293-5088343293,2026-09-07T03:19:28+07:00,https://chillgen.com/products/personalized-music-album-cover-rug-5088343293-5088343293; evidence/products/B021_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B021_pages/personalized-music-album-cover-rug-5088343293-5088343293.html; https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,Custom Music Album Floor Mat with Reinforced Edges for Bedroom and Playroom,Custom Music Album Floor Mat with Reinforced Edges,"Elevate your space with this unique, album-style custom floor mat that brings your favorite music art to life. Perfect for adding a highly personalized touch to your home, it allows you to showcase a cherished album cover, song title, and artist name. This exceptionally soft and comfortable mat is designed to blend seamlessly into your interior styling while providing warmth and comfort underfoot. Product Highlights Customizable with your favorite album cover art, song title, and artist name. Exquisitely soft surface designed for ultimate comfort and a cozy, homely feel. Reinforced locked edge","rectangular music rug with couple photo area, title song and artist name placeholders, play button, heart icon, waveform line, wood texture and colorful blue green magenta variants, living room and fireplace mockups, size guide and microfiber cushion detail; HTTP 200; canonical=https://chillgen.com/products/personalized-music-album-cover-rug-5088343293-5088343293; product type=Rug; variants=4; images=8.",8,8,B021-210-IMG01; B021-210-IMG02; B021-210-IMG03; B021-210-IMG04; B021-210-IMG05; B021-210-IMG06; B021-210-IMG07; B021-210-IMG08,https://www.etsy.com/market/song_personalised_rug; https://www.etsy.com/market/music_rug_personalized_with_album; https://www.etsy.com/market/music_song_rug; https://www.pinterest.com/ideas/album-cover-rugs/920189448114/; https://www.pinterest.com/ideas/spotify-rug/; https://chillgen.com/products/custom-music-album-doormat-front-door-b42677b9b9; https://chillgen.com/,B021-210-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B021_products.json and B021_pages HTML; visuals=B021 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
