evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089624945,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/99e0a0872a60bea69ceeabd7825533def1661290da69318bec6c760fe4b131bb.jpg?v=1784523725,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,pink album cover music rug in bedroom,,pink album cover music rug in bedroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089657713,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/274658f667ff1598afee13ebbe17aa506c7c7bffc1359f37639d382e19746190.jpg?v=1784523725,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,pink custom song rug in living room,,pink custom song rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089690481,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f1183fb28b9e5ceba4a4097a697370b7a4fa5d276387536ecf5566edfd3ce7a6.jpg?v=1784523725,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,pink microfiber cushion detail for music rug,,pink microfiber cushion detail for music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089723249,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e91142624cf8c9f30b2446ed69f1f06a336b6f95764d2b4624932ebf16085b73.jpg?v=1784523725,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,non-slip backing panel for pink album rug,,non-slip backing panel for pink album rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089756017,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/077c55ff3a8fc7be6eb6e49318bb5fe0a6498fd3509c136302e357b7549d445c.jpg?v=1784523726,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,woman sitting near pink music rug,,woman sitting near pink music rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089788785,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9d9657f31bee2fa17d0cdd2308b1db07c7b3652f9635ebe0807d4ce3f07d2162.jpg?v=1784523726,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,pink album rug at entryway,,pink album rug at entryway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089821553,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/424bf52eb842169bc90c04f9b12f051f89c5b5abd5c725a25b63093fc61d4735.jpg?v=1784523726,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,pink album cover rug beside sofa,,pink album cover rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-211,chillgen.com,personalized-album-cover-rug-abb1eeca32,15919775449457,80920089854321,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e1e97a807139f16e6f146a54beea015a89fbc3fa9cd9f61d87c9b83b4cbdf34b.jpg?v=1784523726,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,size guide for pink album cover rug,,size guide for pink album cover rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/personalized-album-cover-rug-abb1eeca32__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-212,chillgen.com,custom-road-map-door-mat-town-design-e3598e955a-e3598e955a,15912091287921,80869947146609,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/57ed3acef4d9092bb742d085aab10f6e4ac8ec3244d47b45ac8274ac59feca9d.jpg?v=1784373381,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,personalized town road map rug in classroom,,personalized town road map rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/custom-road-map-door-mat-town-design-e3598e955a-e3598e955a__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-212,chillgen.com,custom-road-map-door-mat-town-design-e3598e955a-e3598e955a,15912091287921,80869947212145,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2822ad3bb7f8e908d0de3d423d0c5d677e6ae29f9bc691272a46296f23a0b1c3.jpg?v=1784373380,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,size options for custom road map rug,,size options for custom road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/custom-road-map-door-mat-town-design-e3598e955a-e3598e955a__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B022-212,chillgen.com,custom-road-map-door-mat-town-design-e3598e955a-e3598e955a,15912091287921,80869947244913,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/026a55ea2a7fc3a908d6543daf9e22362bae6fdc6713aa7ecdac979c2770882a.jpg?v=1784373387,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:23:24+07:00,town road map play rug in kids room,,town road map play rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B022/custom-road-map-door-mat-town-design-e3598e955a-e3598e955a__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
