evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974671729,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0553e05f91c327679dade962a6d3a8ba3d322ecb296506a457fb55dbc44dc1fe.jpg?v=1784371557,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,adventure town road map rug overhead view,,adventure town road map rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974737265,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1a3ef2a60ecb8d9b9ff05fbc9bc36ff2ade2970aca531102d09ae07f219e0585.jpg?v=1784371557,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,size options for adventure road map rug,,size options for adventure road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974770033,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/67cd6edfa5ab3cb70d36cf0569a5da382966d3ea86a4e1a297d4d1bf4c606969.jpg?v=1784371563,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,green road map play rug in classroom,,green road map play rug in classroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974802801,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/313f2704d266bc5ff15eea9eec0da1c6b8e4c5c1f43d564a226964bb63a244e3.jpg?v=1784371563,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,angled adventure town rug in playroom,,angled adventure town rug in playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974835569,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4279d9b092634761b54896700af9fbb042f4dda027287b2e079cb2a965117931.jpg?v=1784371568,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,children using adventure road map rug,,children using adventure road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974868337,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/de7abdf923ea1619e000bc1263715b3750c82204f39aea24da2edc55bbe5e677.jpg?v=1784371569,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,road map rug in classroom aisle,,road map rug in classroom aisle,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974901105,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7607f46be0d074a69d19e0b5c84bb994f4ed0291c9ccb4d5324f653b54d91833.jpg?v=1784371574,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,material details for green road map rug,,material details for green road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974933873,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/80f64367c3d5139c5dc166ca0f34f46210df4711c52384a77ac88de36cc17e13.jpg?v=1784371575,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,machine washable visual for road map rug,,machine washable visual for road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80869974966641,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5158ea09259ab14d3af27072aa56f401ee118bd4a54f6731ee0c8472c5deabc1.jpg?v=1784371580,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,adventure town rug in playroom corner,,adventure town rug in playroom corner,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878920925553,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1e2dbb4ebb91d8b7b6ff3a60ab5d87a1579059e84546abf144cad958164b997f.jpg?v=1784370989,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,personalized adventure road map product view,,personalized adventure road map product view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B023-221,chillgen.com,custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9,15912097710449,80878920958321,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a6fd917ccd48480b6399a10a2c315524edbfd57af04286e48d56a0b34b965202.jpg?v=1784370989,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:29:10+07:00,size chart for town road map rug,,size chart for town road map rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B023/custom-road-map-area-rug-play-mat-9aed6a6ee9-9aed6a6ee9__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
