evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996364145,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/85171ecb750251349a0a7217d8aa33edb4f5d516e1f126dadf8f44984dd3410e.jpg?v=1784382904,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Santa letter Christmas doormat by white door,,Santa letter Christmas doormat by white door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996429681,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fbb11db3c2e5fc5325b5ca4a73d558a69c3520e03a85370b438c6e2aff18f025.jpg?v=1784382905,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,personalized Santa letter mat held by person,,personalized Santa letter mat held by person,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996462449,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b44b72efbaf63f84ea0175975c5cffea5155551293ec86b04b61f2d98cf869e6.jpg?v=1784382909,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Santa letter doormat on snowy entry floor,,Santa letter doormat on snowy entry floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996495217,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e47d051b485daa5827bc6cf6578ba62f7c24fd5e31f7c63074e1385ccf0d3aa7.jpg?v=1784382910,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,family name Santa letter mat at front door,,family name Santa letter mat at front door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996527985,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/573a5a255160da9b2058c332d760284301d8e6e47ddb7761608d58f5a982d316.jpg?v=1784382916,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Santa letter mat on wood floor,,Santa letter mat on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996560753,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/56bb50d3666a2d51326975e5e85587154a5a27a26957164f8737d6d93f7ea91a.jpg?v=1784382915,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,angled Santa letter Christmas mat,,angled Santa letter Christmas mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996593521,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/762e1fd0f2fb4242467794cb155dca456f2ecc91d9400e3d4f185bdbd94cfaa1.jpg?v=1784382920,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Santa letter doormat with dark door,,Santa letter doormat with dark door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996626289,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6f4716af2461bff60434e04528f21412f68db51da4b322068c73fe4cf838d5da.jpg?v=1784382921,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,non-skid backing detail for Christmas mat,,non-skid backing detail for Christmas mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80869996659057,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c67409b1ef5f99e1986ce8839a76b04121f2eb4586eb2b9b4ec4f5742a7fd4fa.jpg?v=1784382928,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Santa letter doormat product view,,Santa letter doormat product view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80878920106353,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/256a1031685fca631aa50f368f413d8098af747536f2ccf8273558b6d3955cc6.jpg?v=1784378200,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,Christmas Santa delivery doormat by wreath,,Christmas Santa delivery doormat by wreath,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B024-231,chillgen.com,personalized-christmas-doormat-d7f77b93a8-d7f77b93a8,15912100331889,80878920139121,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f267db1a8e360986984b7c1e1d50c9c3e870ff98accc339723168ecc00ea7092.jpg?v=1784378020,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:33:04+07:00,custom name Santa letter doormat display,,custom name Santa letter doormat display,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B024/personalized-christmas-doormat-d7f77b93a8-d7f77b93a8__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
