evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878192918897,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/af540a27df3dd960a309185033acd8f2198fe183a6f33020da12106ec68af4ed.jpg?v=1784368998,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,Mindset Matters classroom rug by sofa,,Mindset Matters classroom rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878192951665,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8f785cbcb8dbfedaa5d42dde8ff07b0276b50bfd2e855258ca1497a9d7441488.jpg?v=1784369001,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,growth mindset rug classroom angle,,growth mindset rug classroom angle,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878192984433,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c8d843bbcc41accd66ded1bfbf2ca03e7b9f580fa7c1e277febf44b4f1e09e56.jpg?v=1784369003,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,Mindset Matters rug overhead view,,Mindset Matters rug overhead view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193017201,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/530c8935005247d29f6f596762d2b4480572ac088f913c8783950822ead9e66d.jpg?v=1784369006,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,mindset classroom rug in playroom,,mindset classroom rug in playroom,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193049969,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a92469e885f759421d52625ca2f4c95e478942f1782e5e91c274475a51507d92.jpg?v=1784369009,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,teacher reading on mindset rug,,teacher reading on mindset rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193082737,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ac215dbe4729cfbf5535f0cb809f469536c538167bb72a24fa7bfbce7707bbba.jpg?v=1784369011,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,children gathered on growth mindset rug,,children gathered on growth mindset rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193115505,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f0af4b4b89a80765c52c8608e7854d7439ebccd4111dbf9dba90155757057987.jpg?v=1784369014,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,Mindset Matters rug detail panel,,Mindset Matters rug detail panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193148273,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f6791662264879487a9f9451c87f4300d4928dd48d00c82a2d39e529407f95fa.jpg?v=1784369017,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,growth mindset rug size chart,,growth mindset rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878193181041,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f79fe70f2937896500fb3ef115b2d3d3f29c1ef52367d81778b27c218cb549de.jpg?v=1784369019,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,microfiber cushion closeup for mindset rug,,microfiber cushion closeup for mindset rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878584594801,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/af540a27df3dd960a309185033acd8f2198fe183a6f33020da12106ec68af4ed_e2ac6e07-4b28-4704-b5d7-72c3cd14804a.jpg?v=1784369022,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,Mindset Matters rug room mockup,,Mindset Matters rug room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B026-251,chillgen.com,colorful-classroom-rug-for-kids-e5ed693d3f,15913303277937,80878584627569,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8f785cbcb8dbfedaa5d42dde8ff07b0276b50bfd2e855258ca1497a9d7441488_ae69d128-c2e0-4dcc-81ef-e11f0ee74644.jpg?v=1784369024,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:44:06+07:00,personalized mindset classroom rug angle,,personalized mindset classroom rug angle,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B026/colorful-classroom-rug-for-kids-e5ed693d3f__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
