evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091614065,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e9c9ecbaba94193dad40aed434f5de779c28a8810a9122d5cd6358cf3e3f4206.jpg?v=1784377385,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,two horse area rug by sofa,,two horse area rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091646833,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9952886acdac70dc3f689f30192a9edfa30429be5850781eff7e78e3eee3edf7.jpg?v=1784377385,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,two horse rug size chart,,two horse rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091679601,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fde27ebd0b4714dd4fbae1e45c7604933f1ab0ee2760f7c7c7a756fdfcc3195c.jpg?v=1784377390,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,microfiber cushion closeup for horse rug,,microfiber cushion closeup for horse rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091712369,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1e4bcebd2be16713fe8c4030b8b0745c198a456333b95cd05c60d43b9ff6e500.jpg?v=1784377390,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,anti-slip backing detail for horse rug,,anti-slip backing detail for horse rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091745137,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aac81512bb11897c06fc31d0327648cc4700ca2ea0150584366411a924a784bf.jpg?v=1784377395,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,two horse rug by fireplace,,two horse rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091777905,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bc258d49d68f5032106e02f94a41dbe35a15a5a022938c7f7a6dd7acbefded50.jpg?v=1784377396,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,two horse area rug in living room,,two horse area rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091810673,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/05a7ebd8980f17da7d2122d9b8a5875aec3505e50d32dd05dccb4c189f55d964.jpg?v=1784377401,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,horse lover rug room view,,horse lover rug room view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-281,chillgen.com,custom-running-horse-welcome-mat-fade3d1429,15913418424689,80879091843441,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/99a8e89d771f82bf6f27a28f7c28759f2729ae673f6a694cb6810ca8aaa87d92.jpg?v=1784377401,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,two horse rug quiet fireside scene,,two horse rug quiet fireside scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-welcome-mat-fade3d1429__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-282,chillgen.com,custom-running-horse-doormat-2a0ef19423-2a0ef19423,15913418490225,80879092072817,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/59c8226f1ec3d18e79d2559874a7d7b4bf46b153de5adbc20f2563df66e23943.jpg?v=1784377364,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,tribal horse area rug by sofa,,tribal horse area rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-doormat-2a0ef19423-2a0ef19423__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-282,chillgen.com,custom-running-horse-doormat-2a0ef19423-2a0ef19423,15913418490225,80879092105585,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c761dd335a2d040d253a30528a6af3c30c2c546b54cfcdfd1142c133c241ee94.jpg?v=1784377364,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,tribal horse rug size chart,,tribal horse rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-doormat-2a0ef19423-2a0ef19423__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B029-282,chillgen.com,custom-running-horse-doormat-2a0ef19423-2a0ef19423,15913418490225,80879092138353,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b851a3f3f9e6501ec57e11603fd273d322e24d02be6115c1c3f623633095685d.jpg?v=1784377369,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:55:29+07:00,microfiber cushion closeup for tribal horse rug,,microfiber cushion closeup for tribal horse rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B029/custom-running-horse-doormat-2a0ef19423-2a0ef19423__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
