evidence_id,product_url,reviewed_at,sources_accessed,current_H1,current_meta_title,short_source_excerpt,verified_product_facts,gallery_image_count,images_viewed_count,image_audit_references,SERP_evidence_references,buyer_research_references,factual_conflicts,processing_status,confidence_and_reason,fact_to_source_map,proposed_field_to_fact_map
B029-281,https://chillgen.com/products/custom-running-horse-welcome-mat-fade3d1429,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-welcome-mat-fade3d1429; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-welcome-mat-fade3d1429.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Personalized Horse Lover Area Rug with Custom Text and Low Pile for Bedroom,Personalized Horse Lover Area Rug with Soft Low Pile,"This beautiful horse collection area rug brings comfort and style to your home decor. Featuring a stunning western running horse design, it serves as a soft and cozy addition to your floors. The premium thick and absorbent construction helps soothe tired feet while providing a warm shield from cold floors, making it perfect for everyday indoor use. Product Highlights Vibrant western running horse print with long-lasting color quality. Supports custom options to easily match your decorative preferences. Constructed with a soft top layer and sponge interlayer for a plush, comfortable feel. Non-s","rectangular rug with two brown horses, warm blurred stable-like background, close-up horse faces, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-welcome-mat-fade3d1429; product type=Rug; variants=3; images=8.",8,8,B029-281-IMG01; B029-281-IMG02; B029-281-IMG03; B029-281-IMG04; B029-281-IMG05; B029-281-IMG06; B029-281-IMG07; B029-281-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-281-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-282,https://chillgen.com/products/custom-running-horse-doormat-2a0ef19423-2a0ef19423,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-doormat-2a0ef19423-2a0ef19423; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-doormat-2a0ef19423-2a0ef19423.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Custom Western Running Horse Rug with Optional Text and Reinforced Edges,Custom Western Running Horse Rug with Reinforced Edges,"Enhance your home decor with this western running horse themed area rug. Featuring a striking horse design, this soft floor covering brings warmth and style to any room. It is crafted with a cushioned feel that helps soothe tired feet and provides a comfortable barrier against cold floors. This durable and functional accent piece is perfect for horse lovers looking to personalize their space. Product Highlights Beautiful western running horse theme for animal lovers Supports custom personalized sizing options to fit your space Features a soft memory foam interlayer for cushioned comfort underf","rectangular horse rug with close-up tan horse portrait, bridle and feather-like mane accents, warm golden background, living room and fireplace mockups, size chart, microfiber cushion and backing panels; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-doormat-2a0ef19423-2a0ef19423; product type=Rug; variants=3; images=8.",8,8,B029-282-IMG01; B029-282-IMG02; B029-282-IMG03; B029-282-IMG04; B029-282-IMG05; B029-282-IMG06; B029-282-IMG07; B029-282-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-282-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-283,https://chillgen.com/products/horse-area-rug-running-carpet-beb8f5b5cd-beb8f5b5cd,2026-09-07T03:55:29+07:00,https://chillgen.com/products/horse-area-rug-running-carpet-beb8f5b5cd-beb8f5b5cd; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/horse-area-rug-running-carpet-beb8f5b5cd-beb8f5b5cd.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Personalized Running Horse Carpet with Custom Text and Non Slip Backing,Personalized Running Horse Carpet with Non Slip Backing,"Transform your living space with this beautiful horse collection area rug, featuring a striking western running horse design. Crafted with a soft and absorbent surface, it provides a plush, comfortable feel underfoot, making you feel as though you are walking on a cloud. This decorative floor accent is perfect for horse lovers, adding both warmth and a touch of nature-inspired style to any indoor environment. Product Highlights Stunning horse and animal-themed design with long-lasting color vibrancy. Supports custom personalized sizing options to fit your specific space. Constructed with a sof","rectangular rug with black running horse silhouette, fiery red orange sunset, large yellow sun, grass foreground, living room and fireplace mockups, size chart, microfiber cushion closeup and backing panel; HTTP 200; canonical=https://chillgen.com/products/horse-area-rug-running-carpet-beb8f5b5cd-beb8f5b5cd; product type=Rug; variants=3; images=8.",8,8,B029-283-IMG01; B029-283-IMG02; B029-283-IMG03; B029-283-IMG04; B029-283-IMG05; B029-283-IMG06; B029-283-IMG07; B029-283-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-283-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-284,https://chillgen.com/products/custom-running-horse-doormat-b25dd5e514,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-doormat-b25dd5e514; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-doormat-b25dd5e514.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Custom Western Running Horse Area Rug with Optional Text for Living Room,Custom Western Running Horse Area Rug with Optional Text,"Bring the spirit of the wild indoors with this stunning horse-themed area rug. Featuring a striking western running horse design, this decorative floor covering adds warmth and personality to your home. Engineered with a cushioned interior to support tired feet, it provides a plush and comfortable feel with every step. Perfect for horse lovers, this durable rug beautifully combines rustic aesthetic appeal with everyday functionality. Product Highlights Vibrant western running horse pattern printed with premium heat dye sublimation for long-lasting color. Customizable options with multiple size","rectangular rug with white horse portrait, large yellow sunflowers, soft blue leaves and warm floral background, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-doormat-b25dd5e514; product type=Rug; variants=3; images=8.",8,8,B029-284-IMG01; B029-284-IMG02; B029-284-IMG03; B029-284-IMG04; B029-284-IMG05; B029-284-IMG06; B029-284-IMG07; B029-284-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-284-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-285,https://chillgen.com/products/custom-western-running-horse-door-mat-e6671cf5b4-e6671cf5b4,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-western-running-horse-door-mat-e6671cf5b4-e6671cf5b4; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-western-running-horse-door-mat-e6671cf5b4-e6671cf5b4.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Personalized Western Running Horse Door Mat with Custom Text for Entryway,Personalized Western Horse Door Mat with Reinforced Edges,"Bring the spirit of the wild west into your home with this beautiful horse themed area rug. Featuring a striking running horse design, this soft and durable floor covering adds a unique rustic charm to any indoor space. Constructed with a comfortable cushioned interlayer, it provides a warm and soothing surface underfoot while effectively shielding your toes from cold floors. Product Highlights Vibrant running horse design printed with high-quality heat dye sublimation for long-lasting color. Supports custom sizing options to perfectly fit your preferred living area. Constructed with a soft no","rectangular rug with black horse portrait, swirling mane, red flame and lava-like background, glowing eye, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing; HTTP 200; canonical=https://chillgen.com/products/custom-western-running-horse-door-mat-e6671cf5b4-e6671cf5b4; product type=Rug; variants=3; images=8.",8,8,B029-285-IMG01; B029-285-IMG02; B029-285-IMG03; B029-285-IMG04; B029-285-IMG05; B029-285-IMG06; B029-285-IMG07; B029-285-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-285-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-286,https://chillgen.com/products/custom-running-horse-welcome-mat-34b7c38f01,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-welcome-mat-34b7c38f01; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-welcome-mat-34b7c38f01.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Custom Western Horse Carpet with Optional Text and Low Pile for Living Room,Custom Western Horse Carpet with Soft Low Pile Design,"Enhance your home decor with this beautifully designed horse area rug featuring a running western horse theme. Crafted to bring comfort and style, this soft floor covering offers a cozy feel underfoot while protecting your floors. It serves as a perfect accent piece for horse lovers and adds a touch of personality to any indoor living space. Product Highlights Beautiful western running horse design for animal and horse lovers Supports custom personalization options to fit your unique style Constructed with a soft, cushioning interlayer that helps soothe tired feet Equipped with a non-slip back","rectangular rug with black horse head portrait, bridle detail, soft gray beige background, sparkle accents, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-welcome-mat-34b7c38f01; product type=Rug; variants=3; images=8.",8,8,B029-286-IMG01; B029-286-IMG02; B029-286-IMG03; B029-286-IMG04; B029-286-IMG05; B029-286-IMG06; B029-286-IMG07; B029-286-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-286-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-287,https://chillgen.com/products/custom-running-horse-welcome-mat-509ed4d18f-509ed4d18f,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-welcome-mat-509ed4d18f-509ed4d18f; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-welcome-mat-509ed4d18f-509ed4d18f.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Personalized Running Horse Carpet with Custom Text and Reinforced Edges,Personalized Running Horse Carpet with Reinforced Edges,"This premium western-themed area rug features a striking running horse design that brings a touch of natural beauty and style to your home decor. Crafted with a soft top layer and a high-density memory foam cushion, it offers a comfortable, cloud-like feeling underfoot while helping to soothe tired feet. The durable construction features a non-slip backing for stability, making it an excellent decorative and functional addition to any indoor space. Product Highlights Stunning western running horse artistic design for animal and horse lovers. Supports customization with multiple sizes available","rectangular rug with brown horse portrait wearing white daisy flower crown, green ivy and floral accents, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-welcome-mat-509ed4d18f-509ed4d18f; product type=Rug; variants=3; images=8.",8,8,B029-287-IMG01; B029-287-IMG02; B029-287-IMG03; B029-287-IMG04; B029-287-IMG05; B029-287-IMG06; B029-287-IMG07; B029-287-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-287-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-288,https://chillgen.com/products/custom-running-horse-area-rug-e5f0770fd6-e5f0770fd6,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-area-rug-e5f0770fd6-e5f0770fd6; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-area-rug-e5f0770fd6-e5f0770fd6.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Custom Running Horse Carpet with Optional Text and Non Slip Backing for Home,Custom Running Horse Carpet with Non Slip Backing Design,"This premium horse-themed area rug brings the beauty of wild running horses directly into your living space, making it a perfect decorative addition for animal lovers. Crafted with a soft top layer and high-density memory foam cushioning, it provides exceptional comfort underfoot to help soothe tired feet. Featuring a non-slip backing for stability, this rug seamlessly blends artistic western style with everyday household functionality. Product Highlights Vibrant western running horse design printed with high-quality heat dye sublimation. Supports custom sizing options to fit a variety of indo","rectangular rug with dramatic close-up horse eye, warm brown coat texture, whisker details, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-area-rug-e5f0770fd6-e5f0770fd6; product type=Rug; variants=3; images=8.",8,8,B029-288-IMG01; B029-288-IMG02; B029-288-IMG03; B029-288-IMG04; B029-288-IMG05; B029-288-IMG06; B029-288-IMG07; B029-288-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-288-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-289,https://chillgen.com/products/custom-running-horse-welcome-mat-1edee5e89b-1edee5e89b,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-welcome-mat-1edee5e89b-1edee5e89b; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-welcome-mat-1edee5e89b-1edee5e89b.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Personalized Western Horse Rug with Custom Text and Memory Foam for Bedroom,Personalized Western Horse Rug with Memory Foam Comfort,"Transform your living space with this beautiful horse themed area rug, designed to bring both warmth and style to your home. Featuring a striking western running horse design, this soft floor covering is perfect for animal lovers looking to add a touch of nature to their decor. Crafted to provide a plush, comfortable feel underfoot, it helps soothe tired feet while shielding your toes from cold floors. Product Highlights Vibrant western running horse design with long-lasting color vibrancy from premium heat dye sublimation. Customizable sizing options to perfectly fit various rooms and spaces.","rectangular rug with white horse portrait surrounded by yellow daisies, red flowers and soft wildflower field, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing detail; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-welcome-mat-1edee5e89b-1edee5e89b; product type=Rug; variants=3; images=8.",8,8,B029-289-IMG01; B029-289-IMG02; B029-289-IMG03; B029-289-IMG04; B029-289-IMG05; B029-289-IMG06; B029-289-IMG07; B029-289-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-289-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
B029-290,https://chillgen.com/products/custom-running-horse-welcome-mat-01f80a49ee,2026-09-07T03:55:29+07:00,https://chillgen.com/products/custom-running-horse-welcome-mat-01f80a49ee; evidence/products/B029_products.json; seo_runs/chillgen.com/chillgen_20260907_01/evidence/products/B029_pages/custom-running-horse-welcome-mat-01f80a49ee.html; https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,Custom Western Horse Area Rug with Optional Text and Reinforced Edges,Custom Western Horse Area Rug with Reinforced Edges,"This soft area rug features a striking western running horse design, making it a beautiful and unique addition to your home decor. Crafted to bring a comfortable feeling to the touch, this rug helps soothe tired feet and shields toes from cold floors. It is designed to fit naturally into various rooms, providing both a decorative accent and a cozy underfoot cushion. Product Highlights Vibrant western running horse pattern printed with premium heat dye sublimation for long-lasting color. Personalized DIY printing design allows for custom options to match your home decor. Soft memory foam and sp","rectangular rug with white horse portrait, orange butterflies, daisies and colorful garden flowers, living room and fireplace mockups, size chart, microfiber cushion closeup and anti-slip backing panel; HTTP 200; canonical=https://chillgen.com/products/custom-running-horse-welcome-mat-01f80a49ee; product type=Rug; variants=3; images=8.",8,8,B029-290-IMG01; B029-290-IMG02; B029-290-IMG03; B029-290-IMG04; B029-290-IMG05; B029-290-IMG06; B029-290-IMG07; B029-290-IMG08,https://www.ebay.com/; https://www.etsy.com/; https://www.walmart.com/; https://www.missiondelrey.com/; https://stablestyle.net/; https://logfurnitureplace.com/; https://lonestarwesterndecor.com/; https://thepaintingpony.com/,B029-290-BR01,None observed in public data; admin values unknown.,DRAFTED,"MEDIUM: rendered page, product JSON, and images verified; keyword demand has SERP-only evidence and no volume data.",product facts=B029_products.json and B029_pages HTML; visuals=B029 local images/contact sheets; keyword context=SERP references.,motif and visible product context to title/meta/alt; care/backing/material only where page/image evidence supports.
