evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097217393,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aafb52fe5afe28805411dfc95ae566e304fd788ee851bcd01c53cc8590d3fae3.jpg?v=1784377175,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,charcoal running horse rug by sofa,,charcoal running horse rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097250161,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/93fae3484a1bdd6294f7c13aa5d765250a56d6626ab6d39d7a93deadf0d82249.jpg?v=1784377175,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,black and white horse rug size chart,,black and white horse rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097282929,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/043d9072ff632fc7a5034a3779ffa61b5ccfb415556922c9b027267a09ec717a.jpg?v=1784377180,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,microfiber cushion closeup for horse rug,,microfiber cushion closeup for horse rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097315697,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b39d5aaaad028ec99228398c7b5c817588ef39b08e73f077b61291fbd57c13e8.jpg?v=1784377180,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,anti-slip backing detail for horse rug,,anti-slip backing detail for horse rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097348465,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f2b3ccd377fbc1094de9d23b2c543894f9d9cff0f134006d2f1c0891588c862.jpg?v=1784377186,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,charcoal horse rug by fireplace,,charcoal horse rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097381233,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d4c46b28da9b40875abe298731c8c6903222f89bdd9d90811d38b4faf8bc948f.jpg?v=1784377186,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,running horse rug in living room,,running horse rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097414001,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/85e606f962524c62b4346542bd3bad26b41c10c55598a2b4e26907ca9c20b62a.jpg?v=1784377191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,charcoal horse rug room view,,charcoal horse rug room view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-291,chillgen.com,custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e,15913419342193,80879097446769,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9582efa7cc8857406f9618860c261eb84a59bcd16edcde47e04d0cbaf973dfba.jpg?v=1784377191,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,horse rug quiet fireside scene,,horse rug quiet fireside scene,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-2e0754fd8e-2e0754fd8e__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-292,chillgen.com,custom-running-horse-welcome-mat-f114a916e7-f114a916e7,15913419407729,80879097839985,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9387515dcf012855bbc023c97eb5959a6e01709a5aa45da6aff64b73cf882db8.jpg?v=1784377155,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,running horses area rug by sofa,,running horses area rug by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-f114a916e7-f114a916e7__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-292,chillgen.com,custom-running-horse-welcome-mat-f114a916e7-f114a916e7,15913419407729,80879097872753,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/397ab85e226f4d10de1409f5b0634e921a1f975319bc10b16ee3effa00d3e1b5.jpg?v=1784377155,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,horse herd rug size chart,,horse herd rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-f114a916e7-f114a916e7__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B030-292,chillgen.com,custom-running-horse-welcome-mat-f114a916e7-f114a916e7,15913419407729,80879097905521,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f2ec21ec365fb7971a595cfce61a8f71efdd89dec0a87c70fd37451574be40c3.jpg?v=1784377160,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T03:59:11+07:00,microfiber cushion closeup for herd rug,,microfiber cushion closeup for herd rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B030/custom-running-horse-welcome-mat-f114a916e7-f114a916e7__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
