evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130673521,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/78d6fd56073b15386fd92ba298ddce0567819611d304c12859b8b24bda5f7498.jpg?v=1784368018,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,Yay You're Here teacher mat flat view,,Yay You're Here teacher mat flat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130706289,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cbbc29d498490a2de469027cc89b3a164ea57479edf5e37f269f10ca4f5c7941.jpg?v=1784368022,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,first grade teacher mat in room,,first grade teacher mat in room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130739057,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6b0223ab8efdf6f96ced428989b8b41286a84f8143eb6dffd91c703f3e47a2ab.jpg?v=1784368023,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,non-skid backing detail for teacher mat,,non-skid backing detail for teacher mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130771825,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b77706e908139c908f5dcb747358b53ec8cf3436e72f4bc0a814c6b01b46eed3.jpg?v=1784368028,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,classroom doormat size chart,,classroom doormat size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130804593,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a750b7c2c9a1b08965ded944900565d4c5c87607aaa724d2390bda9ef1ca4d6c.jpg?v=1784368028,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,teacher mat use location panel,,teacher mat use location panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130837361,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4f0d717fb23489d51fb9cb4561061746ffe0142c1ea6ed7a1154f93f0278d7de.jpg?v=1784368033,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,personalized classroom mat held by couple,,personalized classroom mat held by couple,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-311,chillgen.com,personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5,15913424126321,80879130870129,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/74433d53cdcc3ad9cd41cd6bbdfbe3bc604188bc92d4ff26420e38ce9f275cf9.jpg?v=1784368034,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,Yay You're Here mat at doorway with dog,,Yay You're Here mat at doorway with dog,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-doormat-with-custom-teacher-name-956ffe5ee5__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-312,chillgen.com,personalized-classroom-welcome-doormat-b404579ec3-b404579ec3,15913424191857,80879131197809,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/36cb8588b5c4a11526d0f34ae7c3e5361e6137d11a9325b5990c52f982d05a61.jpg?v=1784367996,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,school supplies classroom mat flat view,,school supplies classroom mat flat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-welcome-doormat-b404579ec3-b404579ec3__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-312,chillgen.com,personalized-classroom-welcome-doormat-b404579ec3-b404579ec3,15913424191857,80879131230577,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/65fa1b962d695d1991caff9b725a4dd01b666f49f6ae46be2afb35399dd65047.jpg?v=1784368000,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,personalized classroom mat held by person,,personalized classroom mat held by person,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-welcome-doormat-b404579ec3-b404579ec3__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-312,chillgen.com,personalized-classroom-welcome-doormat-b404579ec3-b404579ec3,15913424191857,80879131263345,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b6e06d1513394b7ad0cf9d01ce9cceea013a50d5812b65b8d9ff0948955fdd08.jpg?v=1784368001,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,classroom welcome mat with students at door,,classroom welcome mat with students at door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-welcome-doormat-b404579ec3-b404579ec3__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B032-312,chillgen.com,personalized-classroom-welcome-doormat-b404579ec3-b404579ec3,15913424191857,80879131296113,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bb4399d4e243e83fa891530b9d6cb4325c1ca9b932aa434a8455f63396b76506.jpg?v=1784368006,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:10:40+07:00,non-skid backing detail for classroom mat,,non-skid backing detail for classroom mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B032/personalized-classroom-welcome-doormat-b404579ec3-b404579ec3__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
