evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879331836273,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5f7d834215ddd1b85b20777431715837e303505816145880399bf5285cb0abb3.jpg?v=1784384224,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,Game Of Champions soccer rug in living room,,Game Of Champions soccer rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879331869041,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ff68103dec6db75d11a8c4e6a4a611dc7713f19598ad22b486e55b714d8a7786.jpg?v=1784384224,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,2026 stadium soccer rug room mockup,,2026 stadium soccer rug room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879331901809,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f191341142287fa862d3ebe680e54924c0e0fb7272190d5630565f69733d8a03.jpg?v=1784384229,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,soccer championship rug beside sofa,,soccer championship rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879331934577,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ec2a86eefba6aefe3bf0291a5e0ae773737cdbaac4d5cf9f22e412f839320eda.jpg?v=1784384229,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,Game Of Champions rug patio view,,Game Of Champions rug patio view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879331967345,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f696f777da36b13ac36e3c3c7de7a65b3260abd95bb9e3d1e5e264727f60eac3.jpg?v=1784384234,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,soccer rug by fireplace,,soccer rug by fireplace,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879332000113,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c12ba46bb8e53f9b94f23a20d854dc7b63a72092fa9c7d3b72374de303a1ec04.jpg?v=1784384235,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,soccer rug size chart,,soccer rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879332032881,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1f8de63bbdec760b733e1c2c7e95181fc8476e0875c3ddd37a48a9520796f0d0.jpg?v=1784384240,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,anti-slip backing and stain resistance panel,,anti-slip backing and stain resistance panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-321,chillgen.com,personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4,15913452044657,80879332065649,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f774314e49130ca4b5498e1ff1b463043bce0ac3a2a090dc02689819a6cdc17e.jpg?v=1784384240,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,microfiber memory foam soccer rug detail,,microfiber memory foam soccer rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/personalized-soccer-area-rug-trophy-football-868088cbf4-868088cbf4__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-322,chillgen.com,custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520,15913452110193,80879332295025,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f22f6542b6c31065d5c01c931219593558543db1452783132e53b25ec93ac91f.jpg?v=1784384201,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,USA World Game 2026 rug in living room,,USA World Game 2026 rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-322,chillgen.com,custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520,15913452110193,80879332327793,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ff5ee0cbe8d05a6b14d7c997f290ba42d6970721e4d58cf5e12e2549802041be.jpg?v=1784384202,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,USA soccer rug room mockup,,USA soccer rug room mockup,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B033-322,chillgen.com,custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520,15913452110193,80879332360561,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/91bf92067c75307daea091393b28bc513132e4d3c3b3cbbae4f781d4906d8415.jpg?v=1784384207,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:14:05+07:00,World Game 2026 rug beside sofa,,World Game 2026 rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B033/custom-soccer-tournament-trophy-area-rug-8d23acd520-8d23acd520__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
