evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492858225,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc7c078eed752187d54499f849c45841470c7e16370ba81a0c83591cbf32420a.jpg?v=1784375150,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Hope You Like Dogs mat held by person,,Hope You Like Dogs mat held by person,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492989297,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/96d6fbdf9b7c46c59d7bfe166294c2a4847810ff61b36c87f4d13399670b5705.jpg?v=1784375156,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,red plaid dog welcome mat at doorway,,red plaid dog welcome mat at doorway,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492825457,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4d08fa6dc9524fb1413a03f61d8eca684fbe51cac2423c9cfdd3471bfe7dd100.jpg?v=1784375155,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,custom dog breed options panel,,custom dog breed options panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492890993,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5c06875d436f0a05b8a07eabd7227360af8490bf1cf7688bf078b8925abd6343.jpg?v=1784375160,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,dog mat custom breed and pet name panel,,dog mat custom breed and pet name panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492923761,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/33d893e0204ac20d22b84630954a46b03d5100bbab7ffd7e58e9676876af48f2.jpg?v=1784375161,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,non-skid backing detail for dog mat,,non-skid backing detail for dog mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879492956529,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e526544e1fb614f9d37338c85f800dac94c21497e0a647b1de9f9f5c1d172739.jpg?v=1784375166,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Hope You Like Dogs mat at front door,,Hope You Like Dogs mat at front door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879493022065,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7b9ffb1ce203a441af749b59c5bce8c56b551ba5848ca31c246b8bce780ae3c5.jpg?v=1784375166,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,dog welcome mat beside bed,,dog welcome mat beside bed,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-331,chillgen.com,personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8,15913472786801,80879493054833,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/499e2cb3dc1ec2b9de78030954916586822353bed0e80ef3811bf11fbaac533f.jpg?v=1784375171,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Hope You Like Dogs flat mat view,,Hope You Like Dogs flat mat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-pet-name-a66d52e9f8__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492301169,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/dd65c05c35519738d7e3e572f5e54444c100030e0a21c56e14b906f4673da50b.jpg?v=1784375171,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Visitors Approved By Charlie mat held,,Visitors Approved By Charlie mat held,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492333937,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e195f847e296d5ec2bfc8028e4215d1a75205aaf6726f731d1097a299a1d7602.jpg?v=1784375176,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,cartoon dog photo conversion mat,,cartoon dog photo conversion mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492366705,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1ad38166188c58d875400b69b516d36e6f19751fad76c1cc71a9793007b8be2e.jpg?v=1784375177,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Charlie dog mat by white door,,Charlie dog mat by white door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492399473,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2a52051b48ef82febce0cfae47693987fa4268cebb37cf667ead2517973671f7.jpg?v=1784375182,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,non-skid backing detail for pet mat,,non-skid backing detail for pet mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492432241,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/07265ccf5373a140aba7fe965309fd7de68d323b5f5b022459d477b63e7f9d03.jpg?v=1784375182,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,custom pet photo guide,,custom pet photo guide,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492465009,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/eef9d7ece3f0e3565685c5ea2e41e6cf0591bbf1b43ac2561684fe4cf7036af8.jpg?v=1784375186,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,dog approval mat beside bed,,dog approval mat beside bed,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492497777,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1e013b74c0ad85a70c92726e619779b517b47f26fa8579a3b4a5acd4cb1ce832.jpg?v=1784375187,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Charlie dog mat at front door,,Charlie dog mat at front door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-332,chillgen.com,personalized-dog-welcome-mat-custom-name-fd965cdd3f,15913472655729,80879492530545,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9c1e0d99b6d0bb7e9b47031760bd5ba5a8156d74cb25512df2fbe2a1e0572f24.jpg?v=1784375192,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Visitors Approved By Charlie flat view,,Visitors Approved By Charlie flat view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/personalized-dog-welcome-mat-custom-name-fd965cdd3f__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278031217,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/df449f4c8eb2b292121d745193705a04d5a7715d931a2da87f01ac697acfd1f0.jpg?v=1784375193,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Haunted Paws skeleton mat held,,Haunted Paws skeleton mat held,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879277965681,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e392ee41a70273c27f9c1fe919e9a183a0d9a5b879fbedfb26f54985857988c8.jpg?v=1784375197,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Halloween dog mat on fall porch,,Halloween dog mat on fall porch,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879277998449,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/befc25596a0822ea2d0cd863e672a064423beb20fca3c36cbe780c39ec1af436.jpg?v=1784375198,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,Haunted Paws mat with shoes view,,Haunted Paws mat with shoes view,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278063985,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0e92bcdd6931f4a1fdff7ea3a7e651696a56eb407f0fbf4f229b86fd32350b92.jpg?v=1784375203,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,non-skid backing detail for Halloween mat,,non-skid backing detail for Halloween mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B034-333,chillgen.com,custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1,15913448440177,80879278096753,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/47859c03e04f39a77dbaaa1bca548e8d4dacf595fe8b8e6c344d2c9ac902867d.jpg?v=1784375204,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:17:45+07:00,skeleton dog mat at white front door,,skeleton dog mat at white front door,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B034/custom-halloween-dog-doormat-107f4d9fa1-107f4d9fa1__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
