evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878719992177,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2995d509cd839bac40f9b4d5e614300c863757024e8dfda5c643688435fae6f5.jpg?v=1784383303,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,purple dreamcatcher wolf rug beside sofa,,purple dreamcatcher wolf rug beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878720024945,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e1912fb554126ea67fc9bfd26f4fa542d5a5545b32040ad0742473eb798b2243.jpg?v=1784383303,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,wolf galaxy rug on wood floor,,wolf galaxy rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878720057713,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/bacb6902a99c102bbb5336e998582acb36665c37be474b2ae34a1cd5c99718b2.jpg?v=1784383308,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,dreamcatcher wolf rug in living room,,dreamcatcher wolf rug in living room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878720090481,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cdf9ba48f2139ed2e906e7dceb154332dbe99712ce0a0a23ba284f9e444aac8c.jpg?v=1784383308,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,purple wolf rug under sectional,,purple wolf rug under sectional,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-361,chillgen.com,wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f,15913366684017,80878720123249,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a6076e53d70b7da8dbf27e686b9bfa55d4f0fa225e44616af42a7518b19effea.jpg?v=1784383314,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,wolf dreamcatcher rug under desk,,wolf dreamcatcher rug under desk,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/wolf-galaxy-carpet-boy-room-decor-rug-4c471ed92f-4c471ed92f__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792507761,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/deca9b5480070aad68750ee92d34846adcbe84c1d1926ba33045b872cbaec69e.jpg?v=1784378004,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,black floral bear shaped rug on light floor,,black floral bear shaped rug on light floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792540529,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0820b2ee41e9dad20f47d85694c3e24df6f75762885fbf5c386bc59f1c066bf1.jpg?v=1784378004,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,floral bear rug on wood floor,,floral bear rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792573297,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/655a3cdad4ddb8531eeb617ece9ce287ac5378392d099ef0c13bfc95823d3f40.jpg?v=1784378009,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,bear shaped rug in nursery room,,bear shaped rug in nursery room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792606065,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/51a3bec88f28f82e1f6256c6da69f768cf40a241455077c912622f9cb78904d4.jpg?v=1784378010,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,bear rug layer construction panel,,bear rug layer construction panel,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792638833,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/60f3b4b5a674520a0907e8b5ec2a68a8d20a840c1933d6d1752ca6e4bbbc6abb.jpg?v=1784378014,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,bear shaped rug size chart,,bear shaped rug size chart,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B037-362,chillgen.com,custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7,15913379201393,80878792671601,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6feedbc04a344fab31f04c4d34e92933db21d6b444843668a5bc4ea13e26a919.jpg?v=1784378015,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:30:10+07:00,custom shape bear rug backing detail,,custom shape bear rug backing detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B037/custom-bear-paw-print-area-rug-4e14d548d7-4e14d548d7__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
