evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131694449,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ce9771688dc1b0261f726b166479e9c5837207b37bd8670d4952b1ee68ecc501.jpg?v=1784370011,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Floral composition notebook teacher-name rug shown by sofa,,Floral composition notebook teacher-name rug shown by sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131727217,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/105dd1f661c4f495de69346de7663a27c1c59c3e4c6ea0e3e8330b7838814a01.jpg?v=1784370014,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Top view of Mrs. Smith personalized floral classroom rug,,Top view of Mrs. Smith personalized floral classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131759985,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f139c616ac238676084e0d23317f902d761e68b98cba3e94ab9e37cbbf8924a5.jpg?v=1784370016,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Classroom mockup with floral notebook rug on floor,,Classroom mockup with floral notebook rug on floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131792753,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1c765646a564be8631720e80dc5736e171fc62b69ec5c3260c6a5984365e60dc.jpg?v=1784370019,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Playroom mockup with floral teacher-name composition rug,,Playroom mockup with floral teacher-name composition rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131825521,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e43c0a8669710c165c833b3459744e13d50615c6237bb47cd44880f081fa33fc.jpg?v=1784370022,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Children gathered near floral book-spine classroom rug,,Children gathered near floral book-spine classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131858289,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b99fb095366041341df46867fdcb00a71d3ce13f56d7b145c918da723b6731fe.jpg?v=1784370024,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Teacher and children sitting on personalized floral classroom rug,,Teacher and children sitting on personalized floral classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131891057,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/94ecb768061792719fad7628e9b28fa948e3cdc3cfb9f85a3d8e47a2f84c0a69.jpg?v=1784370028,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Feature graphic showing bound edges thickness and learning pattern,,Feature graphic showing bound edges thickness and learning pattern,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-411,chillgen.com,custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef,15913205399921,80877131923825,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2e7ea8e4d89724952466e443d0796173337e7d8427c72b1e9a1783fa1db05347.jpg?v=1784370030,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Isolated floral composition notebook rug with Mrs. Smith name,,Isolated floral composition notebook rug with Mrs. Smith name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-e78523a9ef-e78523a9ef__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133758833,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4c92cd413ec8e516cbfa0c0ace5cc381bd4a65e19b125c11d37a710ca411b099.jpg?v=1784369988,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Classroom mockup with composition notebook rug covered in emotion faces,,Classroom mockup with composition notebook rug covered in emotion faces,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133791601,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/448fa3efd8cfd2dfd58597a2eaf94b6ffdd555f05ab61a77721af997a1f06544.jpg?v=1784369992,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Dimension graphic for pastel emotion faces classroom rug,,Dimension graphic for pastel emotion faces classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B042-412,chillgen.com,custom-composition-notebook-classroom-rug-kids-3e5de6246c,15913205596529,80877133824369,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/06f7cafa2ff98dd7c2e8d56c318ba9e1e9dee0225ebfddc25b0739a3bb070194.jpg?v=1784369993,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T04:56:27+07:00,Top view of personalized emotion faces notebook rug,,Top view of personalized emotion faces notebook rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B042/custom-composition-notebook-classroom-rug-kids-3e5de6246c__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
