evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872087409,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/093cf525cc09f393b570741500336c8731f0c77c92dcd42595bd69ce2cc09f25.jpg?v=1784369536,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Black reading corner rug with rainbow open book in classroom library setting,,Black reading corner rug with rainbow open book in classroom library setting,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872120177,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c84749cd15c1e7cf20e9c03ec76fac8573039905939e7f27c70b18d28c5af02c.jpg?v=1784369540,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Size chart for rainbow reading corner rug,,Size chart for rainbow reading corner rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872152945,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6b9bef826c9bbb10e550e2b6c24d9821cae35b887121797a17c8e32c4e1c2eb0.jpg?v=1784369542,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Home library mockup with colorful reading quote rug,,Home library mockup with colorful reading quote rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872185713,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4193d8d386d98e6a86778b3d2cd45c14bc1df79af465cf608857493e1c6af462.jpg?v=1784369546,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Children sitting around rainbow open-book reading rug,,Children sitting around rainbow open-book reading rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872218481,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ae1e3b4d3e048a94f4d9adbbf6d4e7c48d5b635b55f875e736ee9e8f7ebc6f18.jpg?v=1784369547,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Close-up of butterfly detail and microfiber surface on reading rug,,Close-up of butterfly detail and microfiber surface on reading rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872251249,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/2ad1085d1fb1189fc5a154dc4df0104caff3e5c570693c64a36182f646fa11fb.jpg?v=1784369551,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Backing and material infographic for black reading corner rug,,Backing and material infographic for black reading corner rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872284017,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/42bb8f5b8d02d0d323c0ef8e00ca1b0d7c75b6a4dde2a7040962d3771e4b09c5.jpg?v=1784369553,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Machine washable and vacuum cleaner graphic for reading rug,,Machine washable and vacuum cleaner graphic for reading rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-421,chillgen.com,custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546,15913270772081,80877872316785,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7d9d3b5e61a1a48a9cf13d8ab120d4c6e7a6a4aaa0a41ddc1f3d9e50342c5133.jpg?v=1784369557,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Top view of rainbow open-book reading rug on wood floor,,Top view of rainbow open-book reading rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-welcome-mat-classroom-library-9e72982546-9e72982546__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-422,chillgen.com,custom-reading-corner-classroom-library-rug-f3d87bd3da,15913270903153,80877872972145,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7a87ec3bead09ee5b5b4dfc973a86a2040df9faa9e300e8cb73bc3a442a7dd10.jpg?v=1784369514,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Pink Reading gives you wings library rug in classroom setting,,Pink Reading gives you wings library rug in classroom setting,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-classroom-library-rug-f3d87bd3da__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-422,chillgen.com,custom-reading-corner-classroom-library-rug-f3d87bd3da,15913270903153,80877873004913,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/afd3add48ede93fee1eb30661c4f25320396b7934b4252843c71b7b399d5c6c9.jpg?v=1784369518,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Size chart for butterfly reading library rug,,Size chart for butterfly reading library rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-classroom-library-rug-f3d87bd3da__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B043-422,chillgen.com,custom-reading-corner-classroom-library-rug-f3d87bd3da,15913270903153,80877873037681,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f7317292216eda25f9a6d9bb811d22c61a1f6319ddda103f52c2f475721552b2.jpg?v=1784369520,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:00:30+07:00,Classroom mockup with pink reading gives you wings rug,,Classroom mockup with pink reading gives you wings rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B043/custom-reading-corner-classroom-library-rug-f3d87bd3da__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
