evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307082609,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a518894e132ab7bf81a2a6cc432fccde2f080be3942a90d66a7774e9b7486145_00f010a4-aa22-4585-9302-8839b9a45d25.jpg?v=1784362102,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Brown classroom crossword affirmation rug with Mrs. Taylor name,,Brown classroom crossword affirmation rug with Mrs. Taylor name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307115377,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b64294ada6c6cb9872d603d3616a435e673d0cdbe572d4a7f7ade361e3ad29d5_4d2709c6-9bba-4871-878b-55551d679347.jpg?v=1784362107,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Classroom mockup with brown crossword affirmation rug,,Classroom mockup with brown crossword affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307148145,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/aa723a73c6ec96a2c095ac7c176863f8fd34047b984d94c9efe605ec0bff9ce7_4cc0c9d6-514a-4ef0-b7b0-b328b23f1df5.jpg?v=1784362113,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Isolated In This Classroom You Are crossword rug,,Isolated In This Classroom You Are crossword rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307180913,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/98fcc14c7a6a7143df399de6dbb22ad64ffeff673ab5187bbf03ab0181aba032_aa795923-ef96-4bce-8021-6e008f4f857d.jpg?v=1784362117,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Playroom mockup with brown personalized classroom rug,,Playroom mockup with brown personalized classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307213681,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9c73891a7a26b2f1f3194127a602f8589af52bbdd9a775f2699b691180219bb6_10fc1126-2c51-4d53-b56f-f89bd3954497.jpg?v=1784362123,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Children gathered near crossword affirmation rug detail,,Children gathered near crossword affirmation rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307246449,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/3055f8985fe51811a947ea1c693b35b4e62854f8133529a934fdbf644dbfec5e_68af8811-360a-4f6e-aeae-57d91e08cbfd.jpg?v=1784362128,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Teacher and children sitting on classroom affirmation rug,,Teacher and children sitting on classroom affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-441,chillgen.com,personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9,15913319793009,80878307279217,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f7d0f1d2cfdd2598adfcaf0ad6b0d365e836eb750a48a840b015ca7ca4c6d442_ca4db7cc-2ca6-48dc-96ea-f80e7f891c36.jpg?v=1784362134,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Feature graphic showing thickness and bound edge details,,Feature graphic showing thickness and bound edge details,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-85959c63a9-85959c63a9__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308819313,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c4090d88533c2fb83eaa7a7f810b716d1fab74c48dee6274acc24c635f552720_246655ef-a67d-42d7-9a27-a3d9a5929d08.jpg?v=1784362057,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Black alphabet affirmation rug in classroom corner,,Black alphabet affirmation rug in classroom corner,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308852081,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/42a4b2a64e2d641d14f075d3846a80086e852b8a2ad769d47708e2ff5784799d_36465a44-845e-4ee0-8af4-5f695fc7289b.jpg?v=1784362063,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Size chart for Mrs. Harper alphabet classroom rug,,Size chart for Mrs. Harper alphabet classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308884849,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f903d1511df61e781735c670e676a5dda5c997ae7ab4ee3c9a63dd8744bd6ad6_ef2ed7dc-2235-4a74-b758-96091065d681.jpg?v=1784362069,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Playroom mockup with alphabet affirmation rug,,Playroom mockup with alphabet affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308917617,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ee489e47d00be8f97d186ebacb202ad8f682744975e9e3086b5642cbc7050799_6a22069f-c099-4b4a-b905-9542e1fc0ca4.jpg?v=1784362075,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Children gathered around black ABC affirmation rug,,Children gathered around black ABC affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308950385,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/5a078e451efc1380140db75396c729edbf407b32bb42c2dee12e18da96a94fd9_e449b4ea-1ade-4e53-abfe-a29153817744.jpg?v=1784362080,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Material details graphic showing non-slip backing and reinforced edges,,Material details graphic showing non-slip backing and reinforced edges,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878308983153,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/027ca13f85db69f15d082f14f9a0976b56f1aa286475f0492be5694d7611b882_957b0049-833d-4a4f-8374-d663834d70b4.jpg?v=1784362085,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Machine washable and vacuum cleaner graphic for ABC rug,,Machine washable and vacuum cleaner graphic for ABC rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878309015921,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/de9706bfa343669e8784d969daaabf908cfede56c3db756b933fbe8aa03c3810_56515fa7-d17b-4717-8e2b-782c33cd3029.jpg?v=1784362091,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Home reading room mockup with alphabet affirmation rug,,Home reading room mockup with alphabet affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B045-442,chillgen.com,personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6,15913320022385,80878309048689,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/601acd91014c76b569f86b0bb2e1a8d8d9bf493b49ea194815040d1e9a29a8bc_f7c3cf39-d5da-4dba-969d-f47a108c8506.jpg?v=1784362097,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:11:18+07:00,Classroom mockup with personalized alphabet affirmation rug,,Classroom mockup with personalized alphabet affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B045/personalized-motivational-classroom-rug-for-kids-34838f57f6-34838f57f6__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
