evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093488497,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f96dfff9a7e334c4738908c5d12053bde16c2448d55d4f9e6c330c667cd3e3e.jpg?v=1784385675,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,American Hunter black lab patriotic doormat with antlers and flag,,American Hunter black lab patriotic doormat with antlers and flag,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093554033,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/10dce6b22974da957a9d5696cb3e29f71d7e1fe89f61c95833523b428a5a7255.jpg?v=1784385681,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Couple holding American Hunter black lab doormat,,Couple holding American Hunter black lab doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093586801,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0163a414fd02abadd95da00073abbebefb0c89f5cb9f2395672fb2e222129245.jpg?v=1784385680,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Entryway mockup with dog and American Hunter doormat,,Entryway mockup with dog and American Hunter doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093619569,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/53ce4dc8683dec001ab05dc3812aeab8b8b6a201ba3b433bf168c1327e7c4a1b.jpg?v=1784385687,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Indoor entry mockup with patriotic black lab hunting mat,,Indoor entry mockup with patriotic black lab hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093652337,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/399ceebfef9035c9fb481f321569c5b4c8db40a8d6b8a14dd5a396366d069ec8.jpg?v=1784385686,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Backing and thickness graphic for American Hunter doormat,,Backing and thickness graphic for American Hunter doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093685105,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/7aad58edddf903d1fc255a999f577aefec46be65cee8c76895cb4513e77cdc1d.jpg?v=1784385691,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Size chart for American Hunter hunting doormat,,Size chart for American Hunter hunting doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80870093717873,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cc420f1f5bdee636ab916feab8c06062f820de16aaafdee277d9b8554124aea5.jpg?v=1784385693,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Multi-room placement graphic for black lab hunting mat,,Multi-room placement graphic for black lab hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105054065,GALLERY_PUBLIC_CDN,8,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f96dfff9a7e334c4738908c5d12053bde16c2448d55d4f9e6c330c667cd3e3e_cc7181cf-0cc2-429d-aabc-bae979e0c9ba.jpg?v=1784385697,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated isolated American Hunter black lab doormat,,Repeated isolated American Hunter black lab doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_08.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105086833,GALLERY_PUBLIC_CDN,9,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/10dce6b22974da957a9d5696cb3e29f71d7e1fe89f61c95833523b428a5a7255_57a99818-a5ed-4e72-b40a-1a90cd013baf.jpg?v=1784385698,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated couple holding black lab hunting doormat,,Repeated couple holding black lab hunting doormat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_09.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105119601,GALLERY_PUBLIC_CDN,10,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0163a414fd02abadd95da00073abbebefb0c89f5cb9f2395672fb2e222129245_6b6dfc45-ef49-4e7d-9846-d888a09218d0.jpg?v=1784385702,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated entryway mockup with dog and hunting mat,,Repeated entryway mockup with dog and hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_10.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B046-451,chillgen.com,personalized-patriotic-hunting-doormat-ee02618b87,15912096629105,80877105152369,GALLERY_PUBLIC_CDN,11,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/53ce4dc8683dec001ab05dc3812aeab8b8b6a201ba3b433bf168c1327e7c4a1b_f6814e7d-84f2-46e1-903f-04b77597515e.jpg?v=1784385704,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:17:19+07:00,Repeated indoor entry mockup with patriotic hunting mat,,Repeated indoor entry mockup with patriotic hunting mat,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B046/personalized-patriotic-hunting-doormat-ee02618b87__img_11.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
