evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030343025,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c5484b389573fcc067ec0bbb65a8e2f7aa093c9f0bea9092193c3e1767606ff5_d6db830c-6143-47b3-a788-5d178d68b384.jpg?v=1784386714,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Patriotic golf flag rug shown beside sofa,,Patriotic golf flag rug shown beside sofa,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030375793,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/1297d433c7ea65c7a2b34a4c60a1b55614d4ade8e597057e9e5f025c3dc20e7a_994a5142-6a0e-48c0-a342-a0b25f37d7a0.jpg?v=1784386715,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Bright living room mockup with American flag golf rug,,Bright living room mockup with American flag golf rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030408561,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ca2e0942539c6aac0de4ed6746d241662f553a70a686b3606c089a4911fc6883_a766d807-0731-4ddb-aa2b-326954b18163.jpg?v=1784386720,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Patio room mockup with golf club and ball flag rug,,Patio room mockup with golf club and ball flag rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030441329,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b2e15b9e91ea1ea4d97ae168e3279d3c17161d9764ea3925de76ebe030a57994_848a058c-3c9a-4be9-97ed-3b551af2ae58.jpg?v=1784386720,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Size chart for patriotic golf area rug,,Size chart for patriotic golf area rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030474097,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/cd59aafaa982f4b3356b135f112889a385b77f27c462d793d2862133865440a4_08b0a64f-ef02-4330-ba89-3b2b47563f69.jpg?v=1784386725,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Close-up of microfiber golf ball and flag surface,,Close-up of microfiber golf ball and flag surface,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-461,chillgen.com,custom-golf-area-rug-living-room-mat-51b65f4454,15913196716401,80877030506865,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a1997d6294fca60e31b5d5bc94eab1a3b4b8393f89be9f052a5ea64a662ce024_3d671cc1-a895-4bbf-951d-6e3799d2d277.jpg?v=1784386726,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Backing and material infographic for patriotic golf rug,,Backing and material infographic for patriotic golf rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-51b65f4454__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-462,chillgen.com,custom-golf-area-rug-living-room-mat-f6f3c16862,15913197142385,80877033554289,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/783f3b9a49ccb81013e176238902b05eb93a3755e31fa6a1bd9c892fbd116ed5.jpg?v=1784386693,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Green personalized golf course rug with Alex name,,Green personalized golf course rug with Alex name,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-f6f3c16862__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-462,chillgen.com,custom-golf-area-rug-living-room-mat-f6f3c16862,15913197142385,80877033587057,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a7a85df435044b9b74b0de9dc788920a368feed0a3ef7a269a19c358a2aeb94f.jpg?v=1784386693,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Golf room mockup with custom name fairway rug,,Golf room mockup with custom name fairway rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-f6f3c16862__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-462,chillgen.com,custom-golf-area-rug-living-room-mat-f6f3c16862,15913197142385,80877033619825,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a43936ae65af5b2aa2679a203958e429c62c5498035667495ab8129b2b7b14db.jpg?v=1784386698,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Size chart for personalized green golf rug,,Size chart for personalized green golf rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-f6f3c16862__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-462,chillgen.com,custom-golf-area-rug-living-room-mat-f6f3c16862,15913197142385,80877033652593,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/31eb5dca36aa39c7bff8764274b20ce6cce27d9d5a4119eee5a33f017db660ec.jpg?v=1784386699,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Close-up of green microfiber fairway surface,,Close-up of green microfiber fairway surface,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-f6f3c16862__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B047-462,chillgen.com,custom-golf-area-rug-living-room-mat-f6f3c16862,15913197142385,80877033685361,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/65ec30089752bc893fef88461855aca7e30ed4a9c72d7993c561d56bebaf9a45.jpg?v=1784386703,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T05:21:52+07:00,Backing and material infographic for golf course rug,,Backing and material infographic for golf course rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B047/custom-golf-area-rug-living-room-mat-f6f3c16862__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
