evidence_id,shop_domain,Handle,product_id,media_id,image_location,image_number,variant,image_url,image_url_export,identity_status,shared_media_references,viewed_status,viewed_at,observed_visual_details,alt_current,alt_proposed,alt_action,review_status,revision,approved_by,approved_at,approved_fields,approved_revision,evidence_file_or_reference,issues
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463830897,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a251b5d034762bef3d5868246f3f12aeac409267b3e642ceebd615d662b349ac.jpg?v=1784369741,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Green Ms. Anna math thinking classroom rug on wood floor,,Green Ms. Anna math thinking classroom rug on wood floor,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463863665,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b2d5ff15cd8bc62e71490b9b40a4d34df05d2ad952060173797d0faa3485180f.jpg?v=1784369744,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Classroom mockup with green math problem-solving rug,,Classroom mockup with green math problem-solving rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463896433,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6aae06be2dd853a22713dbb9a3a9d9f804a20130c091091f4333d258153e5705.jpg?v=1784369746,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Feature graphic showing bound edges thickness and learning pattern,,Feature graphic showing bound edges thickness and learning pattern,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463929201,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/c5cc1eed8c5c7050e27ee78aeb20b255977c4ecea2ba848c8b2f6d36cc522c2b.jpg?v=1784369749,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Playroom mockup with personalized green math rug,,Playroom mockup with personalized green math rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463961969,GALLERY_PUBLIC_CDN,5,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a588c6c4aedd74aa16b9e5183bcd22e1519f1037ad0e578f42ce341b1a074e1a.jpg?v=1784369751,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Children gathered near Ms. Anna math rug detail,,Children gathered near Ms. Anna math rug detail,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_05.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877463994737,GALLERY_PUBLIC_CDN,6,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/a64a96960a82dede36fb12714cd86094739a21168173bbd46d99a654a083fa99.jpg?v=1784369754,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Teacher and children sitting on green math thinking rug,,Teacher and children sitting on green math thinking rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_06.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-471,chillgen.com,custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5,15913234006385,80877464027505,GALLERY_PUBLIC_CDN,7,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/f543a617c41696b6033d8b2fd23a5cb7094d3f6806ff5211abd3f7bbd16ef512.jpg?v=1784369757,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Isolated Ms. Anna math classroom rug,,Isolated Ms. Anna math classroom rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/custom-mathematics-education-rug-677ea4d8b5-677ea4d8b5__img_07.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-472,chillgen.com,personalized-motivational-classroom-rug-for-kids-185af7709b,15913234301297,80877467238769,GALLERY_PUBLIC_CDN,1,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/034d164fcc002a752a7d8ab0fb39c69b2f01f8154a2e45ede5dccbcf2c830463.jpg?v=1784365444,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,White In Mrs. Brown's Classroom affirmation rug in kids room,,White In Mrs. Brown's Classroom affirmation rug in kids room,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/personalized-motivational-classroom-rug-for-kids-185af7709b__img_01.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-472,chillgen.com,personalized-motivational-classroom-rug-for-kids-185af7709b,15913234301297,80877467271537,GALLERY_PUBLIC_CDN,2,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/eb32200e9eb9238840f4e0e1d3a89edc5fe1b64543134393000c12397651d0b7.jpg?v=1784365447,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Top view of personalized classroom identity rug,,Top view of personalized classroom identity rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/personalized-motivational-classroom-rug-for-kids-185af7709b__img_02.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-472,chillgen.com,personalized-motivational-classroom-rug-for-kids-185af7709b,15913234301297,80877467304305,GALLERY_PUBLIC_CDN,3,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/857e1092b677d167befa1419e161eb730cbd22667bd956794d5e90e70d116f62.jpg?v=1784365450,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Child reading on classroom affirmation rug,,Child reading on classroom affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/personalized-motivational-classroom-rug-for-kids-185af7709b__img_03.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
B048-472,chillgen.com,personalized-motivational-classroom-rug-for-kids-185af7709b,15913234301297,80877467337073,GALLERY_PUBLIC_CDN,4,,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9a1442cb41a0fe2924e38da02259e87c884eb3cfffd6cb797022fe77be9a6fd0.jpg?v=1784365452,UNKNOWN_WITHOUT_SHOPIFY_EXPORT,PUBLIC_JSON_MATCHED_TO_HANDLE,,VIEWED_CONTACT_SHEET_AND_LOCAL_FILE,2026-09-07T10:16:21+07:00,Children playing on teacher-name affirmation rug,,Children playing on teacher-name affirmation rug,SET,NEEDS_REVIEW,1,,,,,seo_runs/chillgen.com/chillgen_20260907_01/evidence/images/B048/personalized-motivational-classroom-rug-for-kids-185af7709b__img_04.jpg,alt_current_empty_in_public_json; media_export_url_unknown_without_shopify_export
