schema_version,prompt_version,run_id,shop_domain,product_key,Handle,product_id,product_gid,url,canonical_url,locale,market,public_status,access_status,discovery_status,product_type,title_discovery,collections,season_priority,inventory_order,source_refs,discovered_at,last_checked_at,issues,assigned_batch,batch_status,research_status,review_status
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,15976670527857,gid://shopify/Product/15976670527857,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-03,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,"Custom Dog Photo Rug, Personalized Pet Portrait Area Mat N - Design 03",UNKNOWN,HALLOWEEN,1,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,15976669872497,gid://shopify/Product/15976669872497,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-02,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,"Custom Dog Photo Rug, Personalized Pet Portrait Area Mat N - Design 02",UNKNOWN,HALLOWEEN,2,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,15976669544817,gid://shopify/Product/15976669544817,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-n-design-01,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,"Custom Dog Photo Rug, Personalized Pet Portrait Area Mat N - Design 01",UNKNOWN,HALLOWEEN,3,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,15976669217137,gid://shopify/Product/15976669217137,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,https://chillgen.com/products/custom-dog-photo-rug-personalized-pet-portrait-area-mat-non-slip,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,"Custom Dog Photo Rug, Personalized Pet Portrait Area Mat Non Slip",UNKNOWN,HALLOWEEN,4,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,15976662729073,gid://shopify/Product/15976662729073,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-102,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Personalized Halloween 3D Optical Illusion Shaped Rug (A0 - Design 102,UNKNOWN,HALLOWEEN,5,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,15976662139249,gid://shopify/Product/15976662139249,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-101,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Personalized Halloween 3D Optical Illusion Shaped Rug (A0 - Design 101,UNKNOWN,HALLOWEEN,6,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,15976661746033,gid://shopify/Product/15976661746033,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a0-design-100,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Personalized Halloween 3D Optical Illusion Shaped Rug (A0 - Design 100,UNKNOWN,HALLOWEEN,7,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,15976661287281,gid://shopify/Product/15976661287281,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,https://chillgen.com/products/personalized-halloween-3d-optical-illusion-shaped-rug-a04-a04,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Personalized Halloween 3D Optical Illusion Shaped Rug (A04) - A04,UNKNOWN,HALLOWEEN,8,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,15976618983793,gid://shopify/Product/15976618983793,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-rug-d9-d9,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Custom Halloween 3D Effect Optical Illusion Spooky Round Rug (D9) - D9,UNKNOWN,HALLOWEEN,9,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
1.0,2.4,chillgen_20260907_01,chillgen.com,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,15976618393969,gid://shopify/Product/15976618393969,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,https://chillgen.com/products/custom-halloween-3d-effect-optical-illusion-spooky-round-r-design-06,en-US,US,PUBLIC_AVAILABLE,ACCESSIBLE_PUBLIC_JSON,DISCOVERED_PUBLIC_PRODUCTS_JSON,Rug,Custom Halloween 3D Effect Optical Illusion Spooky Round R - Design 06,UNKNOWN,HALLOWEEN,10,products_json_page_1; https://chillgen.com/products.json?limit=250&page=1,2026-09-07T00:00:00+07:00,2026-09-07T00:00:00+07:00,admin_only_fields_unknown_without_shopify_csv,B001,COMPLETED,DRAFTED,NEEDS_REVIEW
