evidence_id,run_id,batch_id,product_key,Handle,product_id,source_url,snapshot_dir,source_hash,facts_verified,spec_source,image_audit_references,limitations
PE-B003-21,chillgen_20260911_01,B003,chillgen.com::personalized-bigfoot-camping-sunset-forest-area-rug,personalized-bigfoot-camping-sunset-forest-area-rug,16000594280817,https://chillgen.com/products/personalized-bigfoot-camping-sunset-forest-area-rug,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-bigfoot-camping-sunset-forest-area-rug,b2ac2e3417ce3489c2e54a3899eb66709f0e48d439fe5a1868e64903458509f1,"Bigfoot silhouette, orange sunset, tall forest, cabin-style room mockups",Shopify CSV Body HTML and gallery specification panels,B003-021-IMG01;B003-021-IMG02;B003-021-IMG03;B003-021-IMG04;B003-021-IMG05;B003-021-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-22,chillgen_20260911_01,B003,chillgen.com::personalized-bigfoot-camping-night-scene-area-rug-home-decor,personalized-bigfoot-camping-night-scene-area-rug-home-decor,16000594608497,https://chillgen.com/products/personalized-bigfoot-camping-night-scene-area-rug-home-decor,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-bigfoot-camping-night-scene-area-rug-home-decor,538b1e948370974875e322b059f1369b367640db6edd22d622971814a075fb7d,"dark blue night forest, campfire glow, Bigfoot camping scene",Shopify CSV Body HTML and gallery specification panels,B003-022-IMG01;B003-022-IMG02;B003-022-IMG03;B003-022-IMG04;B003-022-IMG05;B003-022-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-23,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-flag-racing-area-rug-non-slip-design-05,personalized-checkered-flag-racing-area-rug-non-slip-design-05,16000629932401,https://chillgen.com/products/personalized-checkered-flag-racing-area-rug-non-slip-design-05,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-flag-racing-area-rug-non-slip-design-05,154fc005ff01f8a71d07c67f740bacfdd76f654d1a28bb53bbe18a9f29abd871,"NAME HERE sample text, #23, tire tracks, checkered flag accent",Shopify CSV Body HTML and gallery specification panels,B003-023-IMG01;B003-023-IMG02;B003-023-IMG03;B003-023-IMG04;B003-023-IMG05;B003-023-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-24,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-flag-racing-area-rug-non-slip-design-07,personalized-checkered-flag-racing-area-rug-non-slip-design-07,16000630030705,https://chillgen.com/products/personalized-checkered-flag-racing-area-rug-non-slip-design-07,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-flag-racing-area-rug-non-slip-design-07,46965b5375c7b91f9d0528a3812812c0f2b479b592db8ef1f3aa4c5c00c0c5a2,"crossed checkered flags, JACKSON sample text, #25, dark checkerboard field",Shopify CSV Body HTML and gallery specification panels,B003-024-IMG01;B003-024-IMG02;B003-024-IMG03;B003-024-IMG04;B003-024-IMG05;B003-024-IMG06;B003-024-IMG07,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-25,chillgen_20260911_01,B003,chillgen.com::personalized-racing-checkered-flag-area-rug-non-slip-design-06,personalized-racing-checkered-flag-area-rug-non-slip-design-06,16000630063473,https://chillgen.com/products/personalized-racing-checkered-flag-area-rug-non-slip-design-06,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-racing-checkered-flag-area-rug-non-slip-design-06,5ce2e2f605f231a52b1db0734ba91084b2eef6f0c39cd57cf4be59a1e068640d,"black racing rug, checkered flags, sample name and number text",Shopify CSV Body HTML and gallery specification panels,B003-025-IMG01;B003-025-IMG02;B003-025-IMG03;B003-025-IMG04;B003-025-IMG05;B003-025-IMG06;B003-025-IMG07,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-26,chillgen_20260911_01,B003,chillgen.com::personalized-black-checkered-flag-racing-name-area-rug-non-slip,personalized-black-checkered-flag-racing-name-area-rug-non-slip,16000631570801,https://chillgen.com/products/personalized-black-checkered-flag-racing-name-area-rug-non-slip,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-black-checkered-flag-racing-name-area-rug-non-slip,f60e2a0695f5fb1f960613110ff8b5906e5d57166505c0413cd0c90121167b32,"MICHAEL sample name, crossed flags, color option panel, black checkerboard",Shopify CSV Body HTML and gallery specification panels,B003-026-IMG01;B003-026-IMG02;B003-026-IMG03;B003-026-IMG04;B003-026-IMG05;B003-026-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-27,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-flag-race-track-area-rug-non-slip-design-01,personalized-checkered-flag-race-track-area-rug-non-slip-design-01,16000631701873,https://chillgen.com/products/personalized-checkered-flag-race-track-area-rug-non-slip-design-01,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-flag-race-track-area-rug-non-slip-design-01,079f5fb75d08bc70a3deabb40efcb669af7f70ebaa3206ab597dea88067c1f71,"race-track style layout, checkered flag pattern, sample name and number",Shopify CSV Body HTML and gallery specification panels,B003-027-IMG01;B003-027-IMG02;B003-027-IMG03;B003-027-IMG04;B003-027-IMG05;B003-027-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-28,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-flag-race-car-area-rug-non-slip-racing-rug,personalized-checkered-flag-race-car-area-rug-non-slip-racing-rug,16000631865713,https://chillgen.com/products/personalized-checkered-flag-race-car-area-rug-non-slip-racing-rug,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-flag-race-car-area-rug-non-slip-racing-rug,7e4e17b01b6062190a30078f5a106d6997d0ef9907f6ef11037d5f876d45006a,"LAST NAME sample text, Racing script, 000 number, checkered pattern",Shopify CSV Body HTML and gallery specification panels,B003-028-IMG01;B003-028-IMG02;B003-028-IMG03;B003-028-IMG04;B003-028-IMG05;B003-028-IMG06;B003-028-IMG07,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-29,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-flag-race-track-area-rug-non-slip-design-04,personalized-checkered-flag-race-track-area-rug-non-slip-design-04,16000633241969,https://chillgen.com/products/personalized-checkered-flag-race-track-area-rug-non-slip-design-04,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-flag-race-track-area-rug-non-slip-design-04,a6d1826582b9f7b14afb445809ea552f3b58d2d94c5a51ed14de5ece8a37417d,"custom name sample, racing number, checkered border, track-style layout",Shopify CSV Body HTML and gallery specification panels,B003-029-IMG01;B003-029-IMG02;B003-029-IMG03;B003-029-IMG04;B003-029-IMG05;B003-029-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B003-30,chillgen_20260911_01,B003,chillgen.com::personalized-checkered-racing-flags-with-name-area-rug-non-slip,personalized-checkered-racing-flags-with-name-area-rug-non-slip,16000633504113,https://chillgen.com/products/personalized-checkered-racing-flags-with-name-area-rug-non-slip,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B003/personalized-checkered-racing-flags-with-name-area-rug-non-slip,a49f3f8d6f3a9f1287aa4869cc286321e5fae9a2215c7f9547a7d1a457ed9ed7,"JACKSON sample name, #25, crossed checkered flags, gray patterned panel",Shopify CSV Body HTML and gallery specification panels,B003-030-IMG01;B003-030-IMG02;B003-030-IMG03;B003-030-IMG04;B003-030-IMG05;B003-030-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
