evidence_id,run_id,batch_id,product_key,Handle,product_id,source_url,snapshot_dir,source_hash,facts_verified,spec_source,image_audit_references,limitations
PE-B005-41,chillgen_20260911_01,B005,chillgen.com::personalized-anchor-rope-pattern-doormat-for-boat-owners,personalized-anchor-rope-pattern-doormat-for-boat-owners,16000689308017,https://chillgen.com/products/personalized-anchor-rope-pattern-doormat-for-boat-owners,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-anchor-rope-pattern-doormat-for-boat-owners,9ebe4f55b2bb8458907c8cc17f566c1e497e0dda41c23f39e6ea7b0d81e0ea71,"navy anchor rope pattern, Boat Name text, boat location sample, nautical doormat mockups",Shopify CSV Body HTML and gallery specification panels,B005-041-IMG01;B005-041-IMG02;B005-041-IMG03;B005-041-IMG04;B005-041-IMG05;B005-041-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-42,chillgen_20260911_01,B005,chillgen.com::personalized-nautical-anchor-doormat-water-repellent,personalized-nautical-anchor-doormat-water-repellent,16000689439089,https://chillgen.com/products/personalized-nautical-anchor-doormat-water-repellent,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-nautical-anchor-doormat-water-repellent,ff03d214ac0d971f4e0889057052abc6e483d2859301bdbe57673963947457e9,"black doormat, large anchor, Boat Name or Custom Text, Welcome Aboard script, color options",Shopify CSV Body HTML and gallery specification panels,B005-042-IMG01;B005-042-IMG02;B005-042-IMG03;B005-042-IMG04;B005-042-IMG05;B005-042-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-43,chillgen_20260911_01,B005,chillgen.com::personalized-striped-nautical-anchor-doormat-water-repell-design-13,personalized-striped-nautical-anchor-doormat-water-repell-design-13,16000689635697,https://chillgen.com/products/personalized-striped-nautical-anchor-doormat-water-repell-design-13,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-striped-nautical-anchor-doormat-water-repell-design-13,e51fb25b6a98ce034cf7092b044d2407a0a17cbf9d38cdec631fc549bc53b8f1,"aqua stripes, large anchor, compass accents, CUSTOM TEXT sample, nautical doormat",Shopify CSV Body HTML and gallery specification panels,B005-043-IMG01;B005-043-IMG02;B005-043-IMG03;B005-043-IMG04;B005-043-IMG05;B005-043-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-44,chillgen_20260911_01,B005,chillgen.com::personalized-nautical-anchor-with-boat-name-doormat-water-design-08,personalized-nautical-anchor-with-boat-name-doormat-water-design-08,16000690749809,https://chillgen.com/products/personalized-nautical-anchor-with-boat-name-doormat-water-design-08,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-nautical-anchor-with-boat-name-doormat-water-design-08,4cd3013207fc9658f1542e52748b1709ecf1dd1ccf2d2db6ce48a13252110924,"navy mat, white anchor, Welcome Aboard text, Boat Name and Boat Location fields",Shopify CSV Body HTML and gallery specification panels,B005-044-IMG01;B005-044-IMG02;B005-044-IMG03;B005-044-IMG04;B005-044-IMG05;B005-044-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-45,chillgen_20260911_01,B005,chillgen.com::personalized-nautical-anchor-with-ship-wheel-doormat-water-repellent,personalized-nautical-anchor-with-ship-wheel-doormat-water-repellent,16000690815345,https://chillgen.com/products/personalized-nautical-anchor-with-ship-wheel-doormat-water-repellent,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-nautical-anchor-with-ship-wheel-doormat-water-repellent,9a214b4f8277ef40365de5ca7bf2cbb22830442e011d3ae81957c15c439c9653,"ship wheel emblem, anchor, Welcome Aboard script, Cherokee Rose sample, Tampa FL sample",Shopify CSV Body HTML and gallery specification panels,B005-045-IMG01;B005-045-IMG02;B005-045-IMG03;B005-045-IMG04;B005-045-IMG05;B005-045-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-46,chillgen_20260911_01,B005,chillgen.com::personalized-nautical-anchor-with-boat-name-doormat-water-design-14,personalized-nautical-anchor-with-boat-name-doormat-water-design-14,16000691044721,https://chillgen.com/products/personalized-nautical-anchor-with-boat-name-doormat-water-design-14,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-nautical-anchor-with-boat-name-doormat-water-design-14,1fa1e30b4361d98dda80b8bef2ee4a9344cd6ba4bfe5e554af8feff5707f8f5f,"aqua stripes, anchor, seashells, rope border, Welcome and Your Text sample",Shopify CSV Body HTML and gallery specification panels,B005-046-IMG01;B005-046-IMG02;B005-046-IMG03;B005-046-IMG04;B005-046-IMG05;B005-046-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-47,chillgen_20260911_01,B005,chillgen.com::personalized-nautical-anchor-welcome-aboard-doormat-water-repellent,personalized-nautical-anchor-welcome-aboard-doormat-water-repellent,16000692093297,https://chillgen.com/products/personalized-nautical-anchor-welcome-aboard-doormat-water-repellent,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-nautical-anchor-welcome-aboard-doormat-water-repellent,9c796b6bbe2917fb77cc57d52c23315b4246fed548064835e3d7643e353c9b4a,"black stripes, circular anchor badge, Boat Name text, Welcome Aboard wording",Shopify CSV Body HTML and gallery specification panels,B005-047-IMG01;B005-047-IMG02;B005-047-IMG03;B005-047-IMG04;B005-047-IMG05;B005-047-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-48,chillgen_20260911_01,B005,chillgen.com::personalized-anchor-welcome-aboard-doormat-for-fishing-boat,personalized-anchor-welcome-aboard-doormat-for-fishing-boat,16000692158833,https://chillgen.com/products/personalized-anchor-welcome-aboard-doormat-for-fishing-boat,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-anchor-welcome-aboard-doormat-for-fishing-boat,0d4faf31ebe0cde27c143135094ef1bc4bb03474c8015179d4f2d1c51a6e64ee,"black mat, gold anchor, BOAT NAME/CUSTOM TEXT, Welcome Aboard script, color options",Shopify CSV Body HTML and gallery specification panels,B005-048-IMG01;B005-048-IMG02;B005-048-IMG03;B005-048-IMG04;B005-048-IMG05;B005-048-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-49,chillgen_20260911_01,B005,chillgen.com::personalized-anchor-with-boat-name-and-location-doormat,personalized-anchor-with-boat-name-and-location-doormat,16000692289905,https://chillgen.com/products/personalized-anchor-with-boat-name-and-location-doormat,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-anchor-with-boat-name-and-location-doormat,e738c5cee72838e036dea8330b30671965b1d6a517ee0822a9cc14b938229e8b,"silver anchor, Boat Name Here text, Welcome Aboard wording, location sample, color options",Shopify CSV Body HTML and gallery specification panels,B005-049-IMG01;B005-049-IMG02;B005-049-IMG03;B005-049-IMG04;B005-049-IMG05;B005-049-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
PE-B005-50,chillgen_20260911_01,B005,chillgen.com::personalized-classroom-welcome-rainbow-welcome-doormat,personalized-classroom-welcome-rainbow-welcome-doormat,16001043726705,https://chillgen.com/products/personalized-classroom-welcome-rainbow-welcome-doormat,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/products/B005/personalized-classroom-welcome-rainbow-welcome-doormat,805c1899f8730b6d843c45ed9047e47e5bb33231550182c5fb5263c24aaa644f,"pastel rainbow, Welcome to Mrs. Armstrong's Classroom text, teacher classroom doormat mockups",Shopify CSV Body HTML and gallery specification panels,B005-050-IMG01;B005-050-IMG02;B005-050-IMG03;B005-050-IMG04;B005-050-IMG05;B005-050-IMG06,Admin SEO title field available only from CSV; media alt current unavailable from public JSON.
