batch_id,product_key,Handle,product_id,product_gid,image_audit_id,image_position,image_location,image_url_source,local_evidence_path,image_sha256,identity_status,identity_method,observed_visual_details,alt_current,alt_proposed,alt_action,alt_chars,review_status,revision,issues
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG01,1,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/39ebc76de60ccbb0b85c2df9c021292a5b53a87ca42fe4c81364b412afc1afe8.jpg?v=1789094479,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/01_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,871198e875df89160529d1c81ba8f880392ecbf928485b421ef0fd353f8c0d5c,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,good day to do math doormat shown as a full room rug,,good day to do math doormat shown as a full room rug,SET,52,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG02,2,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6a537ce1846604b3475d8e1c867e02f8f8edca4df9e95d16947cbef1e27f8c8a.jpg?v=1789094478,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/02_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,b6b5089c573709a33988e68a3577fd5a9980bd9fd1d4bd70393ff773dc89b331,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Material or size panel for good day to do math doormat,,Material or size panel for good day to do math doormat,SET,54,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG03,3,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/17bd7e56ab85bdb02a96dcd75c94e669979417ec61ed32fb4daa31fe514de200.jpg?v=1789094479,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/03_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,5afafd557e061e29402359c5b83c06f1c73ee340c05407362d115ffd61f80770,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Backing comparison panel for good day to do math doormat,,Backing comparison panel for good day to do math doormat,SET,56,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG04,4,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/260ed4a3f7144d3996ba7c9d744e5c33537ff6c513c5fc6944d845c3b33d2c0e.jpg?v=1789094479,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/04_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,1debb1010ac285bcbb22996d485ee1877dcfdad9da1e41bd79b929a56c37ccb3,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Size guide for good day to do math doormat,,Size guide for good day to do math doormat,SET,42,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG05,5,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/4d5d0a682c510610f954595e9eda1fa1a94c72e9bc30420850a30f8b955c6c5f.jpg?v=1789094479,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/05_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,5a2437dc0b57ea100e9fada4557a468743ca2ad10d362e95852f1ebd1a7d4920,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,good day to do math doormat styled near a sofa and fireplace,,good day to do math doormat styled near a sofa and fireplace,SET,60,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,personalized-good-day-to-do-math-typography-door-mat-non-slip-backing,16001045528945,gid://shopify/Product/16001045528945,B007-061-IMG06,6,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6d0fb140cbe38256a01e224ba54d68f417f14081ad7df33bceeedd9da675b01e.jpg?v=1789094479,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-good-day-to-do-math-typography-door-mat-non-slip-backing/06_personalized-good-day-to-do-math-typography-door-mat-non-slip-backing.jpg,5ddd208ad4b2dcf0c4a3ad1117bb30f36458356f4da4d3431722f271b550e2c4,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,good day to do math doormat shown beside a bed or seating area,,good day to do math doormat shown beside a bed or seating area,SET,62,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-open-book-with-flowers-and-pencil-door-mat,personalized-open-book-with-flowers-and-pencil-door-mat,16001045660017,gid://shopify/Product/16001045660017,B007-062-IMG01,1,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b522fe1d263de4842fe547f16b0024dedacf2ce965e7ef43145555907bcbcdd4.jpg?v=1789094527,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-open-book-with-flowers-and-pencil-door-mat/01_personalized-open-book-with-flowers-and-pencil-door-mat.jpg,bd8d0aecf2f12c6f559f967715e24efadf0e67c6cb0457d8fd6172d5e8637037,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,little minds grow here doormat shown as a full room rug,,little minds grow here doormat shown as a full room rug,SET,55,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-open-book-with-flowers-and-pencil-door-mat,personalized-open-book-with-flowers-and-pencil-door-mat,16001045660017,gid://shopify/Product/16001045660017,B007-062-IMG02,2,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/81e10a18dc6440cfd916bda81a1b2e37faf5602a05f9e46ca5bf64c11c003743.jpg?v=1789094527,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-open-book-with-flowers-and-pencil-door-mat/02_personalized-open-book-with-flowers-and-pencil-door-mat.jpg,45e087b14719a0b3ac2760807d9124cf80131c74e4b3aa8d82b7591c0837e133,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Material or size panel for little minds grow here doormat,,Material or size panel for little minds grow here doormat,SET,57,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-open-book-with-flowers-and-pencil-door-mat,personalized-open-book-with-flowers-and-pencil-door-mat,16001045660017,gid://shopify/Product/16001045660017,B007-062-IMG03,3,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/8474a7394b6765d55ced9e74766c5bd2a877d8dd551109b8490a608deff4f2ce.jpg?v=1789094527,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-open-book-with-flowers-and-pencil-door-mat/03_personalized-open-book-with-flowers-and-pencil-door-mat.jpg,f28c4a302871099d345b811d9b6633347feea3bf2f47b7283194a1d3d0b7120b,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Backing comparison panel for little minds grow here doormat,,Backing comparison panel for little minds grow here doormat,SET,59,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
B007,chillgen.com::personalized-open-book-with-flowers-and-pencil-door-mat,personalized-open-book-with-flowers-and-pencil-door-mat,16001045660017,gid://shopify/Product/16001045660017,B007-062-IMG04,4,GALLERY,https://cdn.shopify.com/s/files/1/1023/0068/0561/files/0cce56257869ffdef77424df4b06b7f8070e6d110eb78c1407831c1ba0edef03.jpg?v=1789094527,/Users/buiquanghuy/Documents/seo_chillgen/seo_runs/chillgen.com/chillgen_20260911_01/evidence/images/B007/personalized-open-book-with-flowers-and-pencil-door-mat/04_personalized-open-book-with-flowers-and-pencil-door-mat.jpg,ea6831cb42b0c557d0109136d9485d1cc310818c88b2462f1a1190f1f314511f,VERIFIED,PUBLIC_PRODUCTS_JSON_HANDLE_MATCH_AFTER_ACTIVATION,Size guide for little minds grow here doormat,,Size guide for little minds grow here doormat,SET,45,NEEDS_REVIEW,R001,alt_current_unknown_from_public_json; verify media alt in Shopify Admin before deploy
