Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,amazon_parent_asin (product.metafields.custom.amazon_parent_asin),Short name (product.metafields.custom.short_name),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-christian-floral-cross-area-rug-non-skid-church-decor,"Custom Christian Floral Cross Area Rug, Non-Skid, Church Decor","<p>This inspirational faith floral area rug offers a unique blend of comfort and spirituality for your home. Featuring a customizable design, it serves as a meaningful centerpiece in various settings. Its thoughtful construction enhances both the aesthetic and spiritual atmosphere of any room.</p><h3>Product Highlights</h3><ul>
<li>Features a Christian faith floral design for an inspirational touch.</li>
<li>Personalize with a name or special message for a unique gift.</li>
<li>Soft polyester fabric provides comfort underfoot.</li>
<li>Equipped with an anti-slip backing for enhanced safety.</li>
<li>Suitable for a variety of home and church uses.</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form</td>
<td>Area Rug</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Flat Woven</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Indoor</td>
</tr>
<tr>
<td>Room Type</td>
<td>Bedroom, Living Room, Office, Gamer Room, Reading Nook, Church</td>
</tr>
<tr>
<td>Water Resistance</td>
<td>Not Water Resistant</td>
</tr>
<tr>
<td>Special Features</td>
<td>Non-Skid</td>
</tr>
<tr>
<td>Pattern</td>
<td>Floral</td>
</tr>
<tr>
<td>Theme</td>
<td>Christian, Faith</td>
</tr>
<tr>
<td>Style</td>
<td>Traditional</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Memory Foam, Polyester Fabric</td>
</tr>
<tr>
<td>Backing Material</td>
<td>Cotton Blend, Anti-slip</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Wrinkle-resistant, Fade-resistant</td>
</tr>
<tr>
<td>Cleaning Method</td>
<td>Vacuum for quick cleaning, Machine wash for deeper care</td>
</tr>
</table><h3>Where It Works</h3><p>This versatile area rug is ideal for enhancing spiritual and interior atmospheres in entryways, bedrooms, living rooms, offices, gamer rooms, cozy reading nooks, or as a decorative piece in a church setting. It also functions perfectly as a prayer rug or meditation corner rug.</p>",CHILLGEN,,Rug,"amazon-parent-b0fss8xw1z, christian, floral, home-decor, indoor, personalized, rectangular, rug, traditional",false,Choose Item Size,X-Small: 2x3ft,,,,,,,,AMZ-RUG-B0FSSCXX5N-1,0.0,,0,deny,manual,34.90,43.63,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/fe4b8df6b68701645826335f8f1c527809f85dea1f7d22ad0d2e16d260f73067.jpg?v=1789055900,1,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",false,,"Traditional Christian floral area rug with non-skid backing, ideal for indoor use in living rooms, bedrooms, or church decor.",,,,,,,,,,,,B0FSS8XW1Z,,,,,lb,,,draft
custom-christian-floral-cross-area-rug-non-skid-church-decor,,,,,,,,,Small: 3x5ft,,,,,,,,AMZ-RUG-B0FSSCXX5N-2,0.0,,0,deny,manual,69.90,87.38,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/6f5f706cccf4c9b2f03801ae6f2b0376a768efcfe7feda348b2a89b21e28a380.jpg?v=1789055900,2,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-christian-floral-cross-area-rug-non-skid-church-decor,,,,,,,,,Medium: 4x6ft,,,,,,,,AMZ-RUG-B0FSSCXX5N-3,0.0,,0,deny,manual,104.90,131.13,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/b568ebae8a149fa65c6268384e74fc3b70c1a601166af25976a37c64b443e43e.jpg?v=1789055900,3,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-christian-floral-cross-area-rug-non-skid-church-decor,,,,,,,,,Large: 5x8ft,,,,,,,,AMZ-RUG-B0FSSCXX5N-4,0.0,,0,deny,manual,139.90,174.88,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/91eabc29dba26e9e1a9c85d7907c3e286691a18a1af1069f4ef51bc250e8a1fd.jpg?v=1789055900,4,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-christian-floral-cross-area-rug-non-skid-church-decor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/ae9f823edf41e937a07bebeb11207664e923939cfc7c39c3a177092d7ef953a7.jpg?v=1789055900,5,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",,,,,,,,,,,,,,,,,,,,,,,
custom-christian-floral-cross-area-rug-non-skid-church-decor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/9f3dccac79c5e6e150f3cfcc681e2437a9466dfe6f8b574508fd49baf17c3cb8.jpg?v=1789055900,6,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 04)",,,,,,,,,,,,,,,,,,,,,,,
custom-ornate-floral-gold-cross-area-rug-non-skid,"Custom Ornate Floral Gold Cross Area Rug, Non-Skid","<p>This area rug offers a blend of traditional style and personalized charm, featuring an inspirational floral design. Crafted for comfort and durability, it serves as a versatile accent piece suitable for various indoor settings.</p><h3>Product Highlights</h3><ul>
<li>Features an inspirational floral faith design.</li>
<li>Personalizable with a name, family name, or special message.</li>
<li>Made with soft polyester fabric and anti-slip backing.</li>
<li>Machine washable for easy maintenance.</li>
<li>Suitable for a variety of home and church uses.</li>
</ul><h3>Specifications</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Attribute</th>
<th align=""left"">Value</th>
</tr>
<tr>
<td>Rug Form Type</td>
<td>Area Rug</td>
</tr>
<tr>
<td>Item Shape</td>
<td>Rectangular</td>
</tr>
<tr>
<td>Weave Type</td>
<td>Flat Woven</td>
</tr>
<tr>
<td>Pile Height</td>
<td>Low Pile</td>
</tr>
<tr>
<td>Construction Type</td>
<td>Machine Made</td>
</tr>
<tr>
<td>Indoor/Outdoor Usage</td>
<td>Indoor</td>
</tr>
<tr>
<td>Room Type</td>
<td>Bedroom, Living Room, Office, Gamer Room, Reading Nook, Entryway</td>
</tr>
<tr>
<td>Water Resistance Level</td>
<td>Not Water Resistant</td>
</tr>
<tr>
<td>Pattern</td>
<td>Floral</td>
</tr>
<tr>
<td>Theme</td>
<td>Christian, Faith</td>
</tr>
<tr>
<td>Style</td>
<td>Traditional</td>
</tr>
<tr>
<td>Number of Pieces</td>
<td>1</td>
</tr>
</table><h3>Material &amp; Care</h3><table border=""1"" cellpadding=""6"" style=""border-collapse:collapse;width:100%"">
<tr>
<th align=""left"" width=""35%"">Item</th>
<th align=""left"">Detail</th>
</tr>
<tr>
<td>Material Type</td>
<td>Memory Foam, Polyester Fabric</td>
</tr>
<tr>
<td>Backing Material</td>
<td>Cotton Blend, Anti-slip backing</td>
</tr>
<tr>
<td>Care Instructions</td>
<td>Vacuum for quick cleaning or machine wash for deeper care</td>
</tr>
</table><h3>Where It Works</h3><p>This versatile rug is ideal for enhancing the atmosphere in entryways, bedrooms, living rooms, offices, gamer rooms, and cozy reading nooks. It also serves as a suitable prayer rug or decorative piece in church settings.</p>",CHILLGEN,,Rug,"amazon-parent-b0fss8xw1z, faith, floral, home-decor, indoor, personalized, rectangular, rug, traditional",false,Choose Item Size,X-Small: 2x3ft,,,,,,,,AMZ-RUG-B0FSS8XW1Z-1,0.0,,0,deny,manual,34.90,43.63,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/d95613aaf6943f855fa7de8b9f996da63930435d0e0ef2a90fda680e6c8ca799.jpg?v=1789055902,1,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 05)",false,,"Traditional Christian area rug with personalized floral faith design, anti-slip backing, perfect for indoor living spaces.",,,,,,,,,,,,B0FSS8XW1Z,,,,,lb,,,draft
custom-ornate-floral-gold-cross-area-rug-non-skid,,,,,,,,,Small: 3x5ft,,,,,,,,AMZ-RUG-B0FSS8XW1Z-2,0.0,,0,deny,manual,69.90,87.38,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/36dd2e328d22ca017384e89ea6017d54d15461c444bcfac20965e6e3c3a41929.jpg?v=1789055902,2,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 05)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-ornate-floral-gold-cross-area-rug-non-skid,,,,,,,,,Medium: 4x6ft,,,,,,,,AMZ-RUG-B0FSS8XW1Z-3,0.0,,0,deny,manual,104.90,131.13,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/850f6dfb92e652077137de9845bec65624f128e2489855f7f5cd12872a6e301d.jpg?v=1789055902,3,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 05)",,,,,,,,,,,,,,,,,,,,lb,,,
custom-ornate-floral-gold-cross-area-rug-non-skid,,,,,,,,,Large: 5x8ft,,,,,,,,AMZ-RUG-B0FSS8XW1Z-4,0.0,,0,deny,manual,139.90,174.88,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1023/0068/0561/files/e05932b298675814394761b410043147213806eb5909e77ad85e893dd1daefb3.jpg?v=1789055902,4,"Custom Christian Rug with Name – Inspirational Faith Floral Area Carpet, Non-Skid Floor Mat for Bedroom, Living Room, Church Decor, Housewarming (Corss Faith 05)",,,,,,,,,,,,,,,,,,,,lb,,,
